Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
NOWnews 今日新聞,431518,2018-04-25 10:15:00 SGT,Link,6914,18,254,44,19,5,0,1,0,,0,0,0,https://www.facebook.com/nownews/posts/10155880227827663,母乳是寶寶最好的飲食來源👍,https://www.nownews.com/news/20180425/2732135?from=lifesli&utm_source=facebook&utm_medium=NOWnews&utm_campaign=1070425,,提升寶寶學習力　預防過敏是關鍵,在面對孩子的學習問題時，父母總是希望孩子能擁有全方位的競爭力，成為未來人生的贏家。不過寶寶常見的過敏症狀，竟然會影響學習力的發展。亞東紀念醫院暨板橋菡生婦幼診所小兒科主治醫師張佑豪就指出，一旦過敏被誘...,,,7255.0
NOWnews 今日新聞,431332,2018-04-23 21:20:05 SGT,Native Video,468,637,307,2,20,0,188,2021,0,original,37219,125353,0,https://www.facebook.com/nownews/posts/10209740635107632,為什麼要這樣！聽到狗狗哀嚎聲好心痛！ (#編緣人) 　 【黑狗被兄弟檔騎車追殺！「長矛刺心臟」當場亡】 https://www.nownews.com/news/20180423/2741052 　 #彰化 #黑狗 #歐熊 #動物保護法,https://www.facebook.com/nownews/videos/10209740635107632/,,,,,,3643.0
NOWnews 今日新聞,431729,2018-04-27 17:43:05 SGT,Link,2887,91,214,68,178,38,3,1,0,,0,0,0,https://www.facebook.com/nownews/posts/10155885464142663,金正恩表示：「我們都是同文同種，應該生活在一起、我們將會享受朝鮮半島的和平」 （#助海編）,https://www.nownews.com/news/20180427/2743743?utm_source=Facebook&utm_medium=nownews&utm_campaign=post,,文金會》兩韓發表聯合聲明　宣布韓戰結束｜全球｜NOWnews今日新聞,眾所矚目的文金會今(27)日上午9時在板門店「和平之家」（PeaceHouse）登場。南韓總統文在寅與北韓領導人金正恩會面後，於下午發表聯合聲明，宣布韓戰結束，將於今年簽署和平協議。文在寅與金正恩下午除了一同在板門店植樹...,,,3480.0
NOWnews 今日新聞,431518,2018-04-25 10:30:00 SGT,Native Video,683,364,1171,5,86,699,15,374,0,original,26164,112657,0,https://www.facebook.com/nownews/posts/10209748462583314,連神都不敢說的話，我們的教育部長說了... (#編緣人) 　 【吳茂昆「沒做過錯事」　宅神：史上最大幹話王】 https://www.nownews.com/news/20180425/2741845 #吳茂昆 #教育部長 #沒做過錯事,https://www.facebook.com/nownews/videos/10209748462583314/,,,,,,3397.0
NOWnews 今日新聞,431518,2018-04-25 16:24:28 SGT,Link,798,456,252,2,52,309,5,1281,0,,0,0,0,https://www.facebook.com/nownews/posts/10155880650717663,勸導若有用，就不會每年死那麼多人...（#編緣人） #酒駕 #刑罰 #勸導,https://www.nownews.com/news/20180425/2742163?utm_source=Facebook&utm_medium=nownews&utm_campaign=post,,市議員提「酒駕不要開罰，勸導為主」　網友轟：是怕罰到自己？｜NOWnews今日新聞,酒駕事故頻傳，動輒造成多個家庭家破人亡，即使酒駕民怨高漲，仍有台北市議員公然為酒駕行為「護航」，呼籲政府立場應以勸導為主，不是開罰。這番言論，引發廣大網友不滿怒批。台北市警察局4月17日前往議會警政衛生委...,,,3155.0
NOWnews 今日新聞,431621,2018-04-26 18:42:45 SGT,Link,2292,157,69,77,50,179,14,4,0,,0,0,0,https://www.facebook.com/nownews/posts/10155883212042663,下輩子別再害人... (#編緣人),https://www.nownews.com/news/20180426/2743119?utm_source=Facebook&utm_medium=nownews&utm_campaign=post,,走私1噸冰毒　印尼重判8名台灣毒犯死刑,去（2017）年7月，印尼破獲史上最大規模安非他命走私案，8名落網的台灣籍嫌犯遭印尼檢方依法求處死刑。法院今（26）日宣判，8人均被判處死刑。印尼政府近年來大力掃毒，去年七月間，當地警方在萬丹省安亞海灘（AnyerBeach.....,,,2842.0
NOWnews 今日新聞,431332,2018-04-23 20:30:00 SGT,Link,516,235,118,835,18,66,7,948,0,,0,0,0,https://www.facebook.com/nownews/posts/10155876371617663,#NOW民調 作個民調，你認為自己是中國人嗎？ 認為是的按❤ 認為不是按😡 #國族認同調查 台灣競爭力論壇,https://www.nownews.com/news/20180423/2740935?utm_source=Facebook&utm_medium=nownews&utm_campaign=post,,國族認同調查結果　逾5成認為自己是「中國人」｜民調｜NOWnews今日新聞,台灣競爭力論壇今（23）日公布2018年國族認同調查結果，數字顯示有51.9%的人認為自己是中國人，43.5%的人持反對意見；更有61.9%的人認為未來兩岸會統一，僅22.4%的人認為台灣獨立機會大。數據顯示，在「具有共同血緣、語言歷....,,,2743.0
NOWnews 今日新聞,431621,2018-04-26 19:56:29 SGT,Link,1464,29,42,96,4,1,353,0,0,,0,0,0,https://www.facebook.com/nownews/posts/10155883259052663,高貴的靈魂，原諒真的不容易！ (#編緣人）,https://www.nownews.com/news/20180426/2743138?utm_source=Facebook&utm_medium=nownews&utm_campaign=post,,原諒國道肇事司機　殉職警女兒：過勞並非他所願｜NOWnews今日新聞,國道麻豆路段23日發生一起死亡車禍，2名國道第四大隊新市分隊員警攔下一部大貨車取締違規，突遭後方另一部大貨車追撞，造成3人死亡。肇事的陸姓司機昨（25）日帶著妻子前往靈堂上香，並向家屬下跪致歉，今（26）日郭振....,,,1989.0
NOWnews 今日新聞,431432,2018-04-24 21:58:27 SGT,Link,870,112,84,1,29,769,5,5,0,,0,0,0,https://www.facebook.com/nownews/posts/10155878971742663,國中小升旗典禮應該比都這多人 ... (#編緣人),https://www.nownews.com/news/20180424/2741762?utm_source=Facebook&utm_medium=nownews&utm_campaign=post,,柯黑大遊行現場「空拍照」曝光！網友諷：用眼睛都算得出來│NOWnews 今日新聞,爭取代表民進黨參選台北市長的立委姚文智，22日舉辦「機蛋大遊行」，也被稱作「柯黑大遊行」，主辦單位宣稱現場有上萬人參與。不過，今（24）日一張由電視拍攝的「空拍圖」曝光，讓網友諷刺「這應該有2800萬人吧」。▲....,,,1875.0
NOWnews 今日新聞,431729,2018-04-27 12:45:00 SGT,Link,1813,3,6,5,1,24,0,3,0,,0,0,0,https://www.facebook.com/nownews/posts/10155885068917663,最幸運的熊貓鏟屎官回來了🎊快來看看他怎麼說😂 精彩心路歷程都在這👉 🔥四川必去網紅景點一篇搞定🔥 　 #四川旅遊 #熊貓鏟屎官 #淘寶 #天貓商城,https://www.nownews.com/news/20180427/2743162?utm_source=facebook&utm_medium=nownews&utm_campaign=107030216,,太呆萌犯規！熊貓鏟屎官四川行　笑稱最有「味道」,誰說四川只是給長輩跟團去的？新出爐的熊貓鏟屎官徐之宸(尼克)，在為期一周的四川之旅後，就大力推薦四川，不僅氣候乾爽宜人，還能跟超可愛的熊貓近距離接觸，更有許多當地好吃的網紅餐廳，透過淘寶精彩的旅遊行程安....,,,1855.0
