Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
東森新聞,4383787,2018-04-24 18:50:00 SGT,Native Video,14016,1484,3960,1725,27,4081,1,0,0,original,306997,494253,0,https://www.facebook.com/news.ebc/posts/2041437105891370,#麻花編：好萌啊！有沒有很想把他抱緊處理呢XD？ 影片授權：微博@張耀陽小演員 #時裝周 #走秀 #跌倒 #小插曲,https://www.facebook.com/news.ebc/videos/2041436362558111/,,一跌成名！4歲捲毛小男模遭絆倒 下一秒融化眾人,,,,25294.0
東森新聞,4384144,2018-04-25 19:40:00 SGT,Native Video,16215,195,4263,1843,116,130,46,1,0,share,552588,1218653,0,https://www.facebook.com/news.ebc/posts/2042689552432792,#哩厝編：這個世界還是有愛的😍,https://www.facebook.com/ebcstar/videos/1986136111465584/,,東森娛樂,"#哩厝編：看他們表情一切真是太值得了

影片授權： Julius Dein
https://bit.ly/2qnVRcg:=:https://www.facebook.com/Juliusmagic/videos/1530834283660718/
#網紅 #魔術 #街友",,,22809.0
東森新聞,4384144,2018-04-25 17:00:01 SGT,Link,10405,369,254,24,290,15,1467,2234,0,,0,0,0,https://www.facebook.com/news.ebc/posts/2042539452447802,女兒遭同學性侵勒斃 單親母砸千萬復仇：我希望他死 #卡卡編：相依為命的女兒 再也回不了家... #性侵 #勒斃 #復仇,https://news.ebc.net.tw/news.php?nid=109848,,女兒遭同學性侵勒斃 單親母砸千萬復仇：我希望他死,大陸一名16歲的姚姓少女，2016年5月19日不幸被17歲王姓男同學性侵殺害，案發後姚女的母親為了幫女兒討回公道，展開漫長復仇之路，不僅結束工作專心找證據，更投入了約300萬人民幣（約1500萬新台幣）的律師費與雜支，勞心勞...,,,15058.0
東森新聞,4383787,2018-04-25 01:10:00 SGT,Native Video,9670,245,4023,172,852,18,6,8,0,share,314849,2023478,0,https://www.facebook.com/news.ebc/posts/2041584495876631,#捲毛編：能讓馬雲也動心，想必這孩子的實力相當不凡！ #13歲 #創業 #CEO,https://www.facebook.com/ebcmoney/videos/1321570777944988/,,東森財經,"13歲少女創業當CEO 連馬雲都邀她來演講！
#捲毛編：各位還記得自己13歲在幹嘛嗎^^

影片授權：一条 YIT
#13歲 #創業 #CEO",,,14994.0
東森新聞,4384144,2018-04-25 12:40:01 SGT,Link,12119,985,149,293,40,214,3,337,0,,0,0,0,https://www.facebook.com/news.ebc/posts/2042374452464302,毒販拒捕遭警擊斃！家屬要國賠680萬 法官：無過失免賠 #卡卡編：法官也挺警察！這才是公平正義啊 #毒販 #拒捕 #擊斃 #國賠,https://news.ebc.net.tw/news.php?nid=109812,,毒販拒捕遭警擊斃！家屬要國賠680萬 法官：無過失免賠,台中市警局霧峰分局員警2年前追捕洪性毒販，毒販開槍拒捕還開車衝撞警方，員警將他擊斃，家屬提告要求國賠680萬。經法官審理認為，警方因為情況急迫開槍，「對於這種瞬間發生的動態變化，無法期待警方能分毫不差的擊.....,,,14140.0
東森新聞,4384144,2018-04-25 12:10:00 SGT,Native Video,5412,1861,2719,37,554,1447,10,107,0,crosspost,357207,499113,542900,https://www.facebook.com/news.ebc/posts/2042330892468658,#麻花編：第38秒的時候，小編都大叫水啦！大家覺得這個公主病醫的好嗎？ 影片來源：微博 #女友 #公主病 #逼迫 #提款機,https://www.facebook.com/news.ebc/videos/2042330172468730/,,女友公主病發作！甩耳光逼買東西 男反應令網友大叫痛快,,,,12147.0
東森新聞,4383357,2018-04-24 00:10:00 SGT,Link,10908,139,277,419,39,0,246,0,0,,0,0,0,https://www.facebook.com/news.ebc/posts/2040298889338525,「星星知我心」真實版！喪夫8年她靠賣30元蔥油餅養7子女 #饅頭切編：不容易，佩服劉媽媽 #單親媽媽 #蔥油餅 #養家 東森財經,https://fnc.ebc.net.tw/FncNews/Content/34794,,「星星知我心」真實版！喪夫8年她靠賣30元蔥油餅養7子女,來自台中的劉淑雲與丈夫育有7名子女，8年前丈夫因心肌梗塞過世，當時最小的女兒僅5個月大，宛如「星星知我心」劇情，劉淑雲靠賣蔥油餅扛起家計，堅持不將兒女送養，如今兒女長大，辛苦有了代價，昨（22）獲家扶基金會....,,,12028.0
東森新聞,4383787,2018-04-24 13:40:00 SGT,Native Video,5178,2622,2990,8,616,175,21,3,0,crosspost,236482,312686,330740,https://www.facebook.com/news.ebc/posts/2041200775915003,男性常常喝冷飲傷「生」 恐影響生育能力 #發發編：還記得老師說古人身體比較好是因為他們沒有冰(◕ܫ◕) 東森新聞 生活中心 台北報導 #生育能力 #冷飲,https://www.facebook.com/news.ebc/videos/2041200079248406/,,男性常常喝冷飲傷「生」 恐影響生育能力,,,,11613.0
東森新聞,4384144,2018-04-25 13:00:04 SGT,Link,6651,241,86,147,28,4,3371,13,0,,0,0,0,https://www.facebook.com/news.ebc/posts/2042392785795802,「任務結束！」國道殉職警移靈 150名員警情緒潰堤…掩面淚別 #領口的荷葉編：一路好走…心真的好痛😭 #國道警 #殉職 #移靈 #任務結束,https://news.ebc.net.tw/news.php?nid=109818,,「任務結束！」國道殉職警移靈 150名員警情緒潰堤…掩面淚別,「任務結束，一路好走」，國道警察葉家豪、郭振雄23日凌晨在取締違規大貨車時，遭後方另一輛大貨車追撞殉職，今（25）日遺體從柳營祿園移靈至台南市立殯儀館，車隊特地繞行至2人所屬的新市分隊做最後巡禮，百名員警也....,,,10541.0
東森新聞,4384144,2018-04-25 16:15:00 SGT,Link,8209,129,889,12,972,31,252,33,0,,0,0,0,https://www.facebook.com/news.ebc/posts/2042492219119192,鋒面掰掰高溫飆30度！ 下周類梅雨報到大變天 #B編：超崩潰！超想哭！ #梅雨 #鋒面 #天氣預報,https://news.ebc.net.tw/news.php?nid=109845,,鋒面掰掰高溫飆30度！ 下周類梅雨報到大變天,隨著鋒面逐漸遠離，氣象局預測，明起到周六（26日至28日）因水汽減少，各地大多為多雲到晴，北台灣高溫估有28至29度，中南部高溫則有31至32度。不過氣象專家彭啟明指出，直到5月2日（下周三）有新一波鋒面，這道鋒面可能....,,,10527.0
