Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
中央社新聞粉絲團,252091,2018-04-25 11:00:01 SGT,Link,1411,60,89,5,45,8,103,9,0,,0,0,0,https://www.facebook.com/cnanewstaiwan/posts/2419777264714406,豐源國小校長說，學校開放這麼多年來，漸漸地發現孩子們心中不平衡，覺得「打掃校園環境是為了觀光客」，校園裡有些東西被破壞也造成困擾。 校方希望社會各界體諒，讓學校回歸教育應有的價值。,http://bit.ly/2qUq9EM,http://www.cna.com.tw/news/firstnews/201804250046-1.aspx?utm_source=cna.facebook&utm_medium=fanpage&utm_campaign=fbpost,決定不忍了！屢遭遊客破壞 全台最美國小貼公告謝絕參觀,台東市中華路上的豐源國小，2012年3月10日新校舍落成啟用，因有...,,,1730.0
中央社新聞粉絲團,252179,2018-04-27 18:00:02 SGT,Link,1280,25,96,31,77,13,0,0,0,,0,0,0,https://www.facebook.com/cnanewstaiwan/posts/2423342601024539,#國際重大消息 南北韓高峰會取得重大成果！（完整報導→http://bit.ly/2KerPB7:=:http://www.cna.com.tw/news/firstnews/201804275004-1.aspx?utm_source=cna.facebook&utm_medium=fanpage&utm_campaign=fbpost） ※兩韓峰會重點不漏接》http://bit.ly/2r4pH6Q:=:http://www.cna.com.tw/project/cards/20180427-koreasummit/?utm_source=cna.facebook&utm_medium=fanpage&utm_campaign=fbpost,http://bit.ly/2KerPB7,http://www.cna.com.tw/news/firstnews/201804275004-1.aspx?utm_source=cna.facebook&utm_medium=fanpage&utm_campaign=fbpost,南北韓峰會達成共同宣言 停止一切敵對行為,南北韓高峰會取得重大成果，南韓總統文在寅與北韓領導人金正恩下午簽署…,,,1522.0
中央社新聞粉絲團,252179,2018-04-27 22:30:00 SGT,Link,1219,0,61,65,10,5,0,0,0,,0,0,0,https://www.facebook.com/cnanewstaiwan/posts/2423541041004695,#相機奇緣 大家還記得我們先前報導海漂相機的故事嗎？故事女主角今天回到拾獲她遺失2年半相機的蘇澳海邊淨灘，為這段台日「奇緣」劃下完美句點。,http://bit.ly/2JxCx4e,http://www.cna.com.tw/news/firstnews/201804270249-1.aspx?utm_source=cna.facebook&utm_medium=fanpage&utm_campaign=fbpost,影／日女大生領回海漂相機 淨灘回報台灣恩情,日本女大學生椿原世梨奈今天抵達宜蘭，領回她遺失2年半的相機…,,,1360.0
中央社新聞粉絲團,252131,2018-04-26 16:01:51 SGT,Link,635,51,73,9,89,95,3,1,0,,0,0,0,https://www.facebook.com/cnanewstaiwan/posts/2421687077856758,很多蘭嶼豬趁颱風或是破壞豬舍逃到山區，逐漸變成野性後，跑到農田偷吃地瓜和芋頭，困擾農民，估計逃到山區的野豬超過百隻...,http://bit.ly/2HUmgJF,http://www.cna.com.tw/news/aloc/201804260184-1.aspx?utm_source=cna.facebook&utm_medium=fanpage&utm_campaign=fbpost,蘭嶼脫逃野豬為患 鄉公所急徵高手捉豬領獎金,蘭嶼脫逃野豬為患，鄉公所貼公告捉野豬，大豬獎勵金新台幣…,,,956.0
中央社新聞粉絲團,252131,2018-04-26 20:00:02 SGT,Link,532,8,20,63,1,0,234,0,0,,0,0,0,https://www.facebook.com/cnanewstaiwan/posts/2421890774503055,殉職警員郭振雄的女兒願意原諒肇事司機，因為過勞也是為了養家餬口，且不是因為酒駕。 她說：「以爸爸身為國道警察為榮，希望爸爸跟葉家豪叔叔是最後兩位因值勤公務而殉職的國道警察。」,http://bit.ly/2I0d1Fw,http://www.cna.com.tw/news/asoc/201804260315-1.aspx?utm_source=cna.facebook&utm_medium=fanpage&utm_campaign=fbpost,「過勞不是他所願...」國道殉職警員女兒願原諒肇事司機,國道四隊新市分隊2名警員郭振雄、葉家豪不幸殉職，遺體昨天…,,,858.0
中央社新聞粉絲團,252179,2018-04-27 12:00:02 SGT,Link,620,28,26,23,3,46,1,6,0,,0,0,0,https://www.facebook.com/cnanewstaiwan/posts/2423032374388895,#最新消息 頂新公司被控進口飼料油，提煉成食用油後販售，台中高分院今天宣判，前董事長魏應充15年，其餘5人判處無罪到11年6月徒刑。,http://bit.ly/2r2AC0T,http://www.cna.com.tw/news/firstnews/201804275003-1.aspx?utm_source=cna.facebook&utm_medium=fanpage&utm_campaign=fbpost,魏應充無罪改判15年 頂新油品案逆轉,,,,753.0
中央社新聞粉絲團,252015,2018-04-24 08:34:18 SGT,Link,587,3,13,32,1,12,0,0,0,,0,0,0,https://www.facebook.com/cnanewstaiwan/posts/2418192511539548,夏綠蒂公主進醫院探視弟弟前，還回頭面帶微笑跟大家揮揮手～ （根本小淑女啊～～～😍😍😍）,http://www.cna.com.tw/news/firstnews/201804240006-1.aspx?utm_source=cna.facebook&utm_medium=fanpage&utm_campaign=fbpost,,凱特王妃產後亮相一身紅洋裝氣色好 威廉笑稱又多個麻煩,（中央社記者戴雅真倫敦23日專電）英國威廉王子之妻凱特今天產下第3個孩子，傍晚隨即抱著新生兒和威廉一同亮相，一襲紅洋裝顯得氣色極佳。 | 重點新聞,,,648.0
中央社新聞粉絲團,252015,2018-04-24 00:00:01 SGT,Link,530,8,17,12,7,4,0,2,0,,0,0,0,https://www.facebook.com/cnanewstaiwan/posts/2417231534968979,吳鳳 Rifat坦白地說：「放棄自己的國籍代表放棄自己的國家，但那裡也是我的家鄉啊！」 台灣的法律與包容性，讓吳鳳不用為此苦惱，給予他能同時愛著兩處豐富他生命國度的權利。,http://www.cna.com.tw/news/amov/201804220109-1.aspx?utm_source=cna.facebook&utm_medium=fanpage&utm_campaign=fbpost,,保有原國籍同時擁有中華民國身分證 吳鳳成文化領域第一人,,,,580.0
中央社新聞粉絲團,252091,2018-04-25 11:30:00 SGT,Link,312,3,12,15,1,1,222,2,0,,0,0,0,https://www.facebook.com/cnanewstaiwan/posts/2419800224712110,小郭、家豪，任務結束、一路好走。 在場人員一邊敬禮一邊流淚，直到車隊遠離、指揮官喊出禮畢，他們才拭去臉上的淚水。第四公路警察大隊副大隊長說「兄弟永遠是兄弟」，希望下輩子能再當同事。,http://bit.ly/2qVKpWH,http://www.cna.com.tw/news/firstnews/201804250059-1.aspx?utm_source=cna.facebook&utm_medium=fanpage&utm_campaign=fbpost,【影片】為殉職同事送行 上百國道警淚眼行禮,國道公路警察局第四公路警察大隊兩名員警執勤時遭撞死，遺…,,,568.0
中央社新聞粉絲團,252179,2018-04-27 20:27:03 SGT,Link,212,67,21,4,11,38,5,169,0,,0,0,0,https://www.facebook.com/cnanewstaiwan/posts/2423531224339010,#最新消息 教育部稍早表示，駁回管中閔當選台大校長案。完整說明見內文↓,http://bit.ly/2KgKDQ2,http://www.cna.com.tw/news/firstnews/201804275005-1.aspx?utm_source=cna.facebook&utm_medium=fanpage&utm_campaign=fbpost,管中閔案 教育部駁回台大遴選會決定,教育部次長林騰蛟今天晚間表示，台大校長遴選有經濟法律上…,,,527.0
