Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
上下游 News&Market,178338,2018-04-27 15:13:26 SGT,Link,624,0,80,42,2,0,0,0,0,,0,0,0,https://www.facebook.com/newsandmarket/posts/1785185874871462,為了修復水圳，南埔社區竟然全村願意休耕一年！剛勇奪金牌農村金牌獎的南埔，村長回鄉後，原本想要做休閒農業，後來發現那還要多投資未必是老農想要，反而大家想要的是改善環境，讓水回來，還有大家要一起挑菜，想要有好感情，然後，老人家們發展的特色食物，真的好奇特～～https://www.newsmarket.com.tw/blog/108809/,https://www.newsmarket.com.tw/blog/108809/,,全村休耕一年，共同修復水圳！南埔社區老農長輩組團隊，勇奪農村金牌│上下游,早期農村社會對水圳的生活記憶深刻，不僅是灌溉水源，甚至是小時候抓魚、捉蝦的遊戲場所，但南埔社區重要的 …,,,748.0
上下游 News&Market,178297,2018-04-24 16:42:16 SGT,Link,554,12,71,6,41,2,3,2,0,,0,0,0,https://www.facebook.com/newsandmarket/posts/1782224208500962,今年洋蔥為何會崩盤？產地傳出盤商壟斷倉儲、農會倉儲量能不夠，是真的嗎？《上下游》遍訪產地大盤商、農會與農民，各界指出，中南部洋蔥大撞期是近因，但近年洋蔥價格大起大落，沒有掌握通路就搶種、種苗數量沒有管控，都是長年不穩的主因，如何穩定市場？請務必點入文內，一文看清洋蔥之亂！ https://www.newsmarket.com.tw/blog/108643/,https://www.newsmarket.com.tw/blog/108643/,,洋蔥價格大起大落，產銷倉儲調控失靈？如何掌握通路、種苗數量穩定市場？│上下游,去年大球每袋（15公斤）270元高價的國產洋蔥，在今年面臨爆量價跌慘況，產地價腰斬一半，每袋僅剩15 …,,,691.0
上下游 News&Market,178303,2018-04-26 12:27:41 SGT,Link,505,3,132,9,5,0,0,0,0,,0,0,0,https://www.facebook.com/newsandmarket/posts/1784091288314254,台灣百香果香氣酸甜剛好，種苗熱銷亞洲產值三億，且持續成長中！研究員指出，百香果就要拚健康種苗市場，因為百香果病毒若沒克服就會全軍覆沒，如今發展出檢測工具，可以贏過越南，百香果這門好生意，農友如何掌握？ https://www.newsmarket.com.tw/blog/108760/,https://www.newsmarket.com.tw/blog/108760/,,台灣百香果種苗熱銷亞洲，產值3億！站穩健康種苗市場即成贏家│上下游,「百香果目前在亞洲發展很快，單是外銷種苗到越南、泰國、中國就有將近800萬株，產值將近三億元，而市場 …,,,654.0
上下游 News&Market,178289,2018-04-23 17:21:04 SGT,Link,424,5,46,6,17,0,0,0,0,,0,0,0,https://www.facebook.com/newsandmarket/posts/1781312535258796,讓農友頭痛的薊馬有天敵可醫！農試所研究20年的小黑花椿象，是台灣本地就有的天敵，實驗證明可用在甜椒、番茄、瓜類、茄子、豆類、草莓，紅豆也可以！不用農藥就可以有效處理，正在技轉，一般農友也能轉～～https://www.newsmarket.com.tw/blog/108627/,https://www.newsmarket.com.tw/blog/108627/,,讓農友頭痛的薊馬有天敵，小黑花椿象有效抑制！甜椒、番茄、瓜類、茄子草莓都適用│上下游,彩椒深受市場歡迎，但因病蟲害多不時傳出農藥殘留過量，農業試驗所（以下簡稱「農試所」）研究發現，在彩椒 …,,,498.0
上下游 News&Market,178294,2018-04-25 15:18:18 SGT,Photo,281,8,37,8,3,1,0,0,0,,0,0,0,https://www.facebook.com/newsandmarket/posts/1783134131743303,大家好，《上下游》誠徵一名新聞記者（base在台北，但經常需跑全台農業現場）以及一名網頁設計暨編輯（base在台中），歡迎有興趣的朋友投遞履歷，來當我們的同事。 《上下游新聞市集》是一個關注農業、食物和環境的社會企業，分為三個部門：新聞、市集和副刊，各自獨立運作，互不干預。 新聞部負責追蹤食農與環境領域的最新脈動，挖掘關鍵議題，希望引發社會良性討論、促成具體改變。目前有總編輯一名，國內專職記者三名，南部特約記者一名，駐歐特約記者一名，在深入探索在地的同時，也放眼國際。 新聞平台另有多名固定的特約作者，並開放社會各界投書，並陳多元觀點。副刊則為文學與藝術好手共同耕耘的版面，如爐火溫暖人心，描繪共好生活圖像。 市集為一販售友善農產的電商平台，亦有實體店面，所得用來支持新聞與副刊；除此之外，尚有建蓁環境教育基金會多年來的固定支持，及其他「共同辦報人」的共襄盛舉。 (truncated),https://www.facebook.com/newsandmarket/photos/a.212821292107936.54886.164564180266981/1783132481743468/?type=3,,,,,,338.0
上下游 News&Market,178303,2018-04-26 16:25:03 SGT,Link,267,7,34,8,18,1,0,0,0,,0,0,0,https://www.facebook.com/newsandmarket/posts/1784219454968104,"不再各自單打獨鬥，桃園青農＋雲林光電業，種出好吃仙草又有利潤！農委會推農業光電，農作物產量則須達七成以上，但業者對專業作物栽培不熟悉，媒合桃園青農，去跟雲林太陽光電業者合作，青農過去幫他們種，青農也有利潤，2分半的土地，預估利潤為111,360元，win win！ https://www.newsmarket.com.tw/blog/108774/",https://www.newsmarket.com.tw/blog/108774/,,仙草與太陽光電win win！桃園青農結合雲林光電場，代耕烘焙仙草茶│上下游,農委會推動營農型光電綠能設施，結合農業與太陽能發電，太陽能板遮蔽率不得超過四成，農作物產量則須達七成 …,,,335.0
上下游 News&Market,178294,2018-04-25 20:40:00 SGT,Link,221,0,35,2,3,0,0,0,0,,0,0,0,https://www.facebook.com/newsandmarket/posts/1783366898386693,國際食農界的大師群聚台灣，包含知名的女性生態學者席娃博士也將來台！歐洲農業與食物倫理學會EurSafe連續20年在全球各地舉辦研討會，今年台灣很榮幸的成為主辦城市，由台大生傳系一起合辦，邀來多位知名國際學者，內容含括食物農業、養殖漁業倫理、歐洲海洋史等，非常精彩，5月10日開始，趕緊報名，錯過了就要出國才有機會！ https://www.newsmarket.com.tw/blog/108754/,https://www.newsmarket.com.tw/blog/108754/,,國際大師雲集│2018年APSafe亞太農糧與食物倫理國際研討會，5月台灣登場│上下游,國際大師雲集！臺大生傳系與歐洲農業與食物倫理學會EurSafe將於2018年5月10日至12日合作籌辦「亞太地區農糧與食物倫理國際研討會（APSafe）」，邀集國內外產官學研與NGOs公益團體聚焦在農糧生產、食品安全與環境守護的嚴正課....,,,261.0
上下游 News&Market,178303,2018-04-26 11:08:35 SGT,Link,176,3,39,8,7,0,0,0,0,,0,0,0,https://www.facebook.com/newsandmarket/posts/1784041971652519,春日寒暖交替老是咳不停？試試這方～麥芽糖桔餅燉老菜脯！老菜脯剪成細細長長，然後拿白鐵湯匙挖兩湯匙麥芽糖，加一、兩片陳皮，一顆桔餅也要剪細喲，再加一大麵碗公的水，放進大同電鍋蒸，適合酷酷掃的時候喝，連小孩都愛～～ https://www.newsmarket.com.tw/mag/1514,https://www.newsmarket.com.tw/mag/1514,,麥芽糖桔餅燉老菜脯 爸爸牌止咳祕方 | 上下游副刊,原來這配方是傳統的止咳良方，經他這麼一說，糢糢糊糊、片片斷斷的影像突然像放入顯影液般，清𥇦起來；連那根小孩們喜…,,,233.0
上下游 News&Market,178294,2018-04-25 10:26:35 SGT,Link,129,3,4,3,3,0,0,1,0,,0,0,0,https://www.facebook.com/newsandmarket/posts/1782951221761594,今年的消費者真的好洋蔥！從蒜頭到洋蔥，短短一個月內，產地湧出7.2萬公噸洋蔥，許多消費者揪團護持，友善洋蔥也塞車，產地拚命沒日沒夜的奮鬥，消費者參與，暫時化解洋蔥危機，但是否能穩定走出有別以往傳統運銷的新路？ https://www.newsmarket.com.tw/blog/108641/ 洋蔥價格大起大落，產銷倉儲調控失靈？如何掌握通路、種苗數量穩定市場？ https://www.newsmarket.com.tw/blog/108643/,https://www.newsmarket.com.tw/blog/108641/,,今年的產銷關係很洋蔥！各界積極動員，廣開洋蔥銷路│上下游,今年中部和南部洋蔥產期重疊，造成洋蔥爆量價跌。短短一個月內，產地湧出7.2萬公噸洋蔥，不僅是既有傳統 …,,,143.0
上下游 News&Market,178338,2018-04-27 17:30:37 SGT,Link,116,3,14,3,1,1,0,1,0,,0,0,0,https://www.facebook.com/newsandmarket/posts/1785257781530938,跟著金牌去旅行～～要從全國的農村社區脫穎而出，真的很了不起，首屆金牌農村大獎出爐，金牌得主有新北共榮暨安康社區、新竹南埔、臺東永安社區，還有銀牌銅牌其實都很厲害，來趟島內小旅行，探索這些美麗又努力的農村！https://www.newsmarket.com.tw/blog/108798/,https://www.newsmarket.com.tw/blog/108798/,,農村榮耀！首屆金牌農村大獎出爐，新北共榮暨安康社區、新竹南埔、臺東永安社區奪金│上下游,政府推動許多政策弭平城鄉差距、促進農村發展，包括地方創生、農村再生等，「但到底要用什麼形式呈現下一階 …,,,139.0
上下游 News&Market,178303,2018-04-26 15:04:10 SGT,Link,97,0,6,7,4,1,0,0,0,,0,0,0,https://www.facebook.com/newsandmarket/posts/1784176218305761,屏東大紅有機火龍果經低溫長時間烘焙，做成有機火龍果乾，香氣與甜度都很到位，完全無加糖或添加物，就自然香甜。果乾有獨特嚼勁，加上種子顆粒爽脆，口感十分獨特喔。推薦給大家！ http://bit.ly/2vKjthu:=:https://www.newsmarket.com.tw/shop/product/organic-dried-dragon-fruit/,http://bit.ly/2vKjthu,https://www.newsmarket.com.tw/shop/product/organic-dried-dragon-fruit/,有機火龍果乾（50克） | 上下游市集,以大紅有機火龍果經低溫烘焙做成的有機火龍果乾，香氣與甜度香濃，果乾濃縮養分，完全無加糖或添加物，就自然甜，果乾有獨特嚼勁，加上種子顆粒爽脆，口感獨特。,,,115.0
上下游 News&Market,178338,2018-04-27 12:11:50 SGT,Photo,110,0,2,1,1,0,0,0,0,,0,0,0,https://www.facebook.com/newsandmarket/posts/1785082004881849,學者變記者，為了什麼？「親愛的上下游朋友，您好：我是鄭傑憶，上下游的駐歐特約記者。遠赴義大利，是因為拿到教育部獎學金到此攻讀社會學，但我在撰寫博士論文期間，因緣際會當上了台灣中央社的駐外特派員，從此「誤入歧途」，畢業後仍以新聞為業...」（繼續閱讀～本期電子報完整內容：http://bit.ly/2KhmRDz:=:https://www.newsmarket.com.tw/?mailpoet_router&endpoint=view_in_browser&action=view&data=WzgsImFhMWYxMDQwNTRiYiIsMCwwLDgsMV0） 每一週，《上下游》的記者們都會為電子報讀者，特別寫下精彩新聞內幕、分享採訪心得，這些獨家內容，只有在電子報裡刊登，還有本週的精彩新聞也會為大家整理呈現，當臉書不再完整送達，電子報讓您完整享受全部的《上下游》～～ 免費訂閱電子報網址：http://bit.ly/2I2vVeO:=:https://www.newsmarket.com.tw/subscribe/ 本期電子報完整內容：http://bit.ly/2KhmRDz:=:https://www.newsmarket.com.tw/?mailpoet_router&endpoint=view_in_browser&action=view&data=WzgsImFhMWYxMDQwNTRiYiIsMCwwLDgsMV0,https://www.facebook.com/newsandmarket/photos/a.212821292107936.54886.164564180266981/1785075014882548/?type=3,,,,,,114.0
上下游 News&Market,178297,2018-04-25 09:10:08 SGT,Link,63,1,3,1,2,3,1,0,0,,0,0,0,https://www.facebook.com/newsandmarket/posts/1782900335100016,15年來第一次，農委會將在9月召開全國農業會議！主委林聰賢表示，農委會即將組改成農業部，對農業未來想像，應納入全體農民意見，因此規劃18場「地方草根會議」，未來納入全國農業會議討論。對於缺工，林聰賢昨日做出重大宣誓，快來看有什麼方案～～https://www.newsmarket.com.tw/blog/108738/,https://www.newsmarket.com.tw/blog/108738/,,九月將召開第六次全國農業會議，18場草根會議先行，農業缺工為重點議案│上下游,繼農委會在2003年以「加入WTO因應措施」為主軸，召開「第五次全國農業會議」；農委會主委林聰賢今（ …,,,74.0
上下游 News&Market,178294,2018-04-25 14:25:15 SGT,Link,64,0,3,0,1,0,0,0,0,,0,0,0,https://www.facebook.com/newsandmarket/posts/1783103665079683,【市集：貢丸湯～的一生】《貢丸湯》這獨特的新竹的地方誌，屆滿發刊三周年的這個時刻，真的要來好好介紹「貢丸湯」本輪了～～編輯走遍新竹各大小吃店，以實事求是的科學化精神，評比新竹舊城八家經典小吃店的貢丸湯～～https://bit.ly/2HqKWpF:=:https://www.newsmarket.com.tw/shop/product/kendama-13/,https://bit.ly/2HqKWpF,https://www.newsmarket.com.tw/shop/product/kendama-13/,貢丸湯 Vol.13 貢丸的一生 | 上下游市集,《貢丸湯》三週年了！ 貢丸雖然是新竹的代名詞，在小吃攤永遠只是配角。 三週年特企的封面故事，貢丸（湯）將成為一切的主角！ 跟著貢丸的生命軌跡，走過「誕生」、「被煮」、「被吃」的必經之路。 當然，本期的周年.....,,,68.0
