Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
風傳媒,552793,2018-04-24 17:20:00 SGT,Link,948,239,184,1,72,327,18,377,0,,0,0,0,https://www.facebook.com/stormmedia/posts/970783796436664,北農總經理吳音寧今日上台備詢，遭國民黨立委徐弘庭指出106年業外收入比105還低，吳音寧否認，但當數據搬出來，吳的回答卻讓徐當場傻眼...... ✪ 獨家內幕搶先看：https://goo.gl/fJrCfy:=:http://line.me/ti/p/@dyp8323m,http://www.storm.mg/article/429022,,質詢又出包！遭數據打臉，吳音寧一句「我剛沒有很仔細回答問題」讓立委當場傻眼…-風傳媒,台北市議會24日進行財建部門質詢，北農總經理吳音寧前日才因「洋蔥」事件在質詢時被抽考，今國民黨議員王鴻薇、徐弘庭再度開砲，...,,,2166.0
風傳媒,552675,2018-04-24 05:00:00 SGT,Link,1316,27,95,56,3,6,1,0,0,,0,0,0,https://www.facebook.com/stormmedia/posts/960223184159392,真材實料、免費供街友吃飯，如此有良心的店家為什麼會被客人怒嗆？只因為老闆對這件事的堅持...... 　 ✓ 點我加入《風傳媒》ＬＩＮＥ好友（ID：@dyp8323m） http://bit.ly/2hETgWE:=:http://line.me/ti/p/@dyp8323m,http://www.storm.mg/article/327597,,50個紙袋就可換炒麵、免費供街友吃飯！7年級的她被客人怒嗆，仍無悔打造最美路邊攤-風傳媒,一間早餐店只賣豬排炒麵跟厚片土司，每天清早去市場採買新鮮食材，不提供免洗餐具、只提供二手手提紙袋，客人拿50個紙袋來可換一份餐，...,,,1504.0
風傳媒,552793,2018-04-24 11:20:00 SGT,Link,887,115,223,3,27,127,72,12,0,,0,0,0,https://www.facebook.com/stormmedia/posts/970675739780803,【#風生活】 不管多喜歡台灣，最後還是會選擇去其他國家發展，台灣低薪環境要生存多艱難？這位香港人無奈道出現實面… 🔴 更多的生活話題→https://goo.gl/fJrCfy:=:http://line.me/ti/p/@dyp8323m #香港 #22K #低薪 #職場,http://www.storm.mg/lifestyle/116080,,香港人不想來台定居：台灣不只低薪、政府智商也低，而這些還不是最可怕的...-風傳媒,為了薪資和舞台，原本嚮往台灣慢步調生活的常春藤畢業港男，最終還是回到他最不愛、卻不得不回去的香港。 相較於台灣薪資長年來幾近停滯的小幅變化，...,,,1466.0
風傳媒,552675,2018-04-23 15:20:00 SGT,Link,457,113,235,2,63,83,9,289,0,,0,0,0,https://www.facebook.com/stormmedia/posts/970167766498267,【#陳立誠 觀點】 政府新任命年僅27歲，毫無能源經驗的鄭亦麟為經濟部「台灣綠色科技產業推動中心」副執行長，引起軒然大波。 而作者認為，蔡政府能源政策由一群沒有能源實務經驗的老少文青所規劃。更可怕的是知過不改，欺上瞞下，吃了秤錘鉄了心，寧可拖垮臺灣也堅決不肯轉彎… ［本文章僅代表作者觀點，也歡迎分享您的意見！］ 　我要投稿：http://bit.ly/1RCJmTt:=:https://smgmarvels.typeform.com/to/Ws9k3b ☛ 加入〈 風傳媒觀點 〉，一起參與討論吧 → http://bit.ly/:=:https://bitly.com/也歡迎投稿喔,http://www.storm.mg/article/425275,,陳立誠觀點：能源政策竟由文青規劃，蔡政府寧可拖垮臺灣也堅決不肯轉彎-風傳媒,日前報載，政府新任命年僅27歲，毫無能源經驗的鄭亦麟為經濟部「台灣綠色科技產業推動中心」副執行長，引起渲然大波。...,,,1251.0
風傳媒,552675,2018-04-23 14:00:01 SGT,Link,921,83,18,8,8,98,2,17,0,,0,0,0,https://www.facebook.com/stormmedia/posts/970207376494306,"對於昨天的柯黑大遊行，有意參選北市長的前藍委孫大千表示，若靠著罵人可把人罵下台，那麼在藍綠政治人物和Call-in名嘴們照著三餐狂罵之下，柯文哲早就已經下台成千上萬次了... ✪ 獨家內幕搶先看：https://goo.gl/fJrCfy:=:http://line.me/ti/p/@dyp8323m 孫大千Sun, Ta-Chien 柯文哲 姚文智翻台北",http://www.storm.mg/article/428340,,「網軍無法用養的」孫大千：柯文哲靠務實又真實，吸引一群粉絲-風傳媒,為了爭取民進黨台北市長提名，立委姚文智昨天舉辦柯黑大遊行。對此，爭取代表國民黨參選台北市長的前立委孫大千說，他不是「柯粉」也不是「柯黑」，...,,,1155.0
風傳媒,552675,2018-04-23 17:40:00 SGT,Link,937,80,17,17,10,33,2,37,0,,0,0,0,https://www.facebook.com/stormmedia/posts/970250803156630,柯文哲強調，他有自信4年後，大家會覺得北市府今天做的事情是對的！ ✪ 獨家內幕搶先看：https://goo.gl/fJrCfy:=:http://line.me/ti/p/@dyp8323m,http://www.storm.mg/article/428410,,砍敬老金民調掉15%　柯文哲：路邊停車收費也掉很慘 如今得到民眾支持-風傳媒,台北市長柯文哲22日參加健保改革研討會時表示，他上任後取消重陽節老人敬老金，結果民調掉了15%。但他今（23）日出席活動自信地說，...,,,1133.0
風傳媒,552675,2018-04-23 21:40:00 SGT,Link,811,106,31,2,16,70,2,39,0,,0,0,0,https://www.facebook.com/stormmedia/posts/970360916478952,「燃氣與燃煤，任何一種都不能輕言放棄！」沈榮津指出，2025非核家園政策是以綠能取代核電，但佔整體供電80%的火力發電..... ✪ 獨家內幕搶先看：https://goo.gl/fJrCfy:=:http://line.me/ti/p/@dyp8323m 侯友宜 #經濟部 #沈榮津 #深澳燃煤電廠,http://www.storm.mg/article/428534,,侯友宜揚言當選後拒發生煤許可，經濟部記者會反擊：一切按程序，社會自有公評-風傳媒,深澳燃煤電廠爭議，在社會輿論持續發燒，經濟部在行政院要求下，今（23）日下午由部長沈榮津率領能源局與台電主管召開記者會，...,,,1077.0
風傳媒,552675,2018-04-23 17:20:00 SGT,Link,675,155,51,5,10,81,2,50,0,,0,0,0,https://www.facebook.com/stormmedia/posts/970173443164366,【#觀點投書】 年底大選將至，國民黨放話要用選票教訓民進黨。對此，總統蔡英文反諷，「年金改革、轉型正義和房價等議題，國民黨任內都不做，民進黨執政後都做了，國民黨還要教訓我們？」 對於蔡總統這番話，作者強調「我們要教訓的，就是你！」 ［本文章僅代表作者觀點，也歡迎分享您的意見！］ 　我要投稿：http://bit.ly/1RCJmTt:=:https://smgmarvels.typeform.com/to/Ws9k3b ☛ 加入〈 風傳媒觀點 〉，一起參與討論吧 → http://bit.ly/:=:https://bitly.com/也歡迎投稿喔,http://www.storm.mg/article/426251,,觀點投書：我們要教訓的，就是你！-風傳媒,針對國民黨喊出要在年底選舉用選票教訓民進黨，身兼民進黨主席的總統蔡英文接受本刊專訪時罕見地以重話回擊。她舉年金改革、轉型正義等為例痛批，...,,,1029.0
風傳媒,552793,2018-04-24 10:50:00 SGT,Native Video,794,8,26,84,0,0,13,0,0,share,16916,89579,0,https://www.facebook.com/stormmedia/posts/970653933116317,特戰單親媽山路行軍11天 突見兒子迎接秒淚崩 #感動 #特戰 #軍人 #母親 #暖心,https://www.facebook.com/SMediaLife/videos/204637610148358/,,風生活,"特戰單親媽山路行軍11天 突見兒子迎接秒淚崩
#落山風：這不是夢!
影片授權：青年日報
#感動 #特戰 #軍人 #母親 #暖心",,,925.0
風傳媒,552492,2018-04-23 04:00:01 SGT,Link,678,32,65,6,18,51,2,3,0,,0,0,0,https://www.facebook.com/stormmedia/posts/960222984159412,台灣在「最適合工作及生活國家」排名第4，遠遠高於歐洲國家，大家認為呢？ 　 ✓ 點我加入《風傳媒》ＬＩＮＥ好友（ID：@dyp8323m） http://bit.ly/2hETgWE:=:http://line.me/ti/p/@dyp8323m,http://www.storm.mg/lifestyle/327787,,為何在歐洲人心裡，台灣宜居程度高居全球第四？最讓國際激賞的原來是這個特色！-風傳媒,奧地利媒體報導，根據全球最大旅外人士網站InterNations調查，台灣為最適合工作及生活國家第4名，超越紐西蘭、新加坡、德國、瑞士等國...,,,855.0
風傳媒,552793,2018-04-24 15:20:00 SGT,Link,579,29,150,6,11,23,3,2,0,,0,0,0,https://www.facebook.com/stormmedia/posts/970705743111136,【#風生活】 「如果大學的住宿環境，只是讓學生學習忍耐不舒適的環境，那麼也許錯失了學習更有價值的事情。」 大學宿舍不應是要學生學會「刻苦耐勞」，「這四件事情」更重要！ 🔴 更多的生活話題→https://goo.gl/fJrCfy:=:http://line.me/ti/p/@dyp8323m #教育 #宿舍 #大學 #刻苦耐勞,http://www.storm.mg/lifestyle/151475,,歐美大學宿舍為什麼豪華？台灣只要你「刻苦耐勞」，外國要你學習經營人生-風傳媒,在台灣某頂尖大學宿舍逛了一圈後，彼得的表情無限同情，外加不可置信。 「我難以想像這種住宿常態，單人房很少，大多學生四個人住一間，這樣不是互相干擾嗎，...,,,803.0
