Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
TVBS 新聞,2032825,2018-04-26 20:20:00 SGT,Link,29025,750,707,2401,89,15,5382,17,0,,0,0,0,https://www.facebook.com/tvbsfb/posts/10155351099210933,女兒最後向父親喊話，「爸爸你的任務結束了，我們一起回家吧」。 江湖在走，【 TVBS 新聞 官方Line】要有→https://goo.gl/QDzHny:=:https://line.me/R/ti/p/%40tvbsnews 【「過勞不是他所願…」　殉職警女兒原諒肇事司機】,https://news.tvbs.com.tw/local/909173,,「過勞不是他所願…」　殉職警女兒原諒肇事司機│TVBS新聞網,,,,38386.0
TVBS 新聞,2032905,2018-04-27 22:40:00 SGT,Link,11169,328,260,34,694,220,3,5,0,,0,0,0,https://www.facebook.com/tvbsfb/posts/10155353543935933,恭喜勝文健康活出人生👏👏👏 江湖在走，【 TVBS 新聞 官方Line】要有→https://goo.gl/QDzHny:=:https://line.me/R/ti/p/%40tvbsnews 【成功減重23.5公斤　路人驚呆「這不是連勝文」】,https://news.tvbs.com.tw/politics/909692,,成功減重23.5公斤　路人驚呆「這不是連勝文」│TVBS新聞網,,,,12713.0
TVBS 新聞,2032825,2018-04-26 23:10:08 SGT,Native Video,10030,307,332,181,687,25,26,3,0,original,326826,345924,0,https://www.facebook.com/tvbsfb/posts/1790398054354774,真的hen敬業耶(｀･ω･´) ｂ 小嫻 （黃瑜嫻） 更多 #娛樂新聞→https://goo.gl/QDzHny:=:https://line.me/R/ti/p/%40tvbsnews 【為演女兵剃髮！　小嫻挑戰入行以來最短髮】,https://www.facebook.com/tvbsfb/videos/1790398054354774/,,為演女兵剃髮！　小嫻挑戰入行以來最短髮,,,,11591.0
TVBS 新聞,2032905,2018-04-27 14:00:01 SGT,Link,8230,730,588,50,213,1258,5,16,0,,0,0,0,https://www.facebook.com/tvbsfb/posts/10155352860655933,高雄會不會也變天........? 快加【TVBS 新聞Line】精選話題報你知→https://goo.gl/QDzHny:=:https://line.me/R/ti/p/%40tvbsnews 【深綠鐵票倉要變天了？　近一半台南市民希望「換黨」】 https://news.tvbs.com.tw/politics/909544,https://news.tvbs.com.tw/politics/909544,,深綠鐵票倉要變天了？　近一半台南市民希望「換黨」│TVBS新聞網,,,,11090.0
TVBS 新聞,2032905,2018-04-27 09:00:02 SGT,Native Video,7988,452,1961,84,264,16,1,6,0,original,147164,188376,0,https://www.facebook.com/tvbsfb/posts/10160349979375137,這竟然是自行車欸！感覺很有趣的說~ 吃喝玩樂看這裡→https://goo.gl/QDzHny:=:https://line.me/R/ti/p/%40tvbsnews . 【騎上舊山線「鐵軌自行車」　半空賞龍騰斷橋】 https://news.tvbs.com.tw/life/908081,https://www.facebook.com/tvbsfb/videos/10160349979375137/,,騎上舊山線「鐵軌自行車」　半空賞龍騰斷橋,,,,10772.0
TVBS 新聞,2032825,2018-04-26 11:40:00 SGT,Link,7556,345,134,14,396,120,12,497,0,,0,0,0,https://www.facebook.com/tvbsfb/posts/10155350535195933,厲害、厲害 狄鶯 孫鵬 狄鶯兒在美被捕→https://goo.gl/L9eVGb:=:https://news.tvbs.com.tw/pack/packdetail/310 江湖在走，【 TVBS 新聞 官方Line】要有→https://goo.gl/QDzHny:=:https://line.me/R/ti/p/%40tvbsnews 【王牌律師出這招！幫狄鶯省6百萬　可望全身而退】,https://news.tvbs.com.tw/world/908764,,王牌律師出這招！幫狄鶯省6百萬　可望全身而退│TVBS新聞網,,,,9074.0
TVBS 新聞,2032905,2018-04-27 23:10:10 SGT,Link,3598,109,272,7,353,5,861,3196,0,,0,0,0,https://www.facebook.com/tvbsfb/posts/10155353648050933,他們都只是孩子，太殘忍了...😡😡😡 #內有影片 江湖在走，【 TVBS 新聞 官方Line】要有→https://goo.gl/QDzHny:=:https://line.me/R/ti/p/%40tvbsnews 【凶手擋在放學必經之路上　7學生被隨機砍死】,https://news.tvbs.com.tw/local/909945,,凶手擋在放學必經之路上　7學生被隨機砍死│TVBS新聞網,,,,8401.0
TVBS 新聞,2032905,2018-04-27 23:40:00 SGT,Native Video,5563,77,501,735,14,8,982,20,0,original,143239,154723,0,https://www.facebook.com/tvbsfb/posts/1791404374254142,揪甘心der毛小孩～祝福牠找到一個溫暖的家(♡´౪`♡) 【遭主人遺棄還被打斷腿！「花媽」卻懂得報恩送花給農友】 https://news.tvbs.com.tw/life/909960 #野生現場,https://www.facebook.com/tvbsfb/videos/1791404374254142/,,遭主人遺棄還被打斷腿！「花媽」卻懂得報恩送花給農友,,,,7900.0
TVBS 新聞,2032825,2018-04-26 14:00:01 SGT,Link,3167,141,820,8,728,8,53,2668,0,,0,0,0,https://www.facebook.com/tvbsfb/posts/10155350641745933,不管是不是租屋，都要注意自身安全 江湖在走，【 TVBS 新聞 官方Line】要有→https://goo.gl/QDzHny:=:https://line.me/R/ti/p/%40tvbsnews 【租屋族小心！女出門上班　慘遭鄰居拖入性侵】,https://news.tvbs.com.tw/world/908853,,租屋族小心！女出門上班　慘遭鄰居拖入性侵│TVBS新聞網,,,,7593.0
TVBS 新聞,2032720,2018-04-26 00:20:00 SGT,Link,4944,101,250,10,342,1470,4,5,0,,0,0,0,https://www.facebook.com/tvbsfb/posts/10155348975895933,正宮的逆襲啊...惹不起（汗） 江湖在走，【 TVBS 新聞 官方Line】要有→https://goo.gl/QDzHny:=:https://line.me/R/ti/p/%40tvbsnews 【空姐樂當小三　正宮登機親贈「感謝錦旗」】,https://news.tvbs.com.tw/world/908530,,空姐樂當小三　正宮登機親贈「感謝錦旗」│TVBS新聞網,,,,7126.0
TVBS 新聞,2032825,2018-04-26 20:00:01 SGT,Link,2186,372,632,5,1928,60,39,1004,0,,0,0,0,https://www.facebook.com/tvbsfb/posts/10155351052815933,小編的胃經不起考驗啊啊啊啊...🤮🤮🤮 江湖在走，【 TVBS 新聞 官方Line】要有→https://goo.gl/QDzHny:=:https://line.me/R/ti/p/%40tvbsnews 【噁！吃冰棒吃到「老鼠尾巴」　女氣炸求償24萬】,https://news.tvbs.com.tw/world/909147,,噁！吃冰棒吃到「老鼠尾巴」　女氣炸求償24萬│TVBS新聞網,,,,6226.0
