Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
蘋果日報 台灣,3770980,2018-04-27 11:10:01 SGT,Link,11919,638,395,398,143,1202,13,232,0,,0,0,0,https://www.facebook.com/appledaily.tw/posts/10157037630687069,無罪撤銷，改判15年！ #蘋果最新 　 #頂新 #黑心油 #食安 #魏應充,https://tw.news.appledaily.com/local/realtime/20180427/1340479/,,【頂新劣油】魏應充無罪撤銷　逆轉改判15年,曾引起全台食安風暴的頂新劣油案，台中高分院今天改判魏應充15年。2013年頂新製油爆發劣油事件，檢方認為魏應充等6人涉嫌進口越南大幸福公司...,,,14940.0
蘋果日報 台灣,3770980,2018-04-27 20:30:01 SGT,Native Video,6006,1282,1837,152,24,3512,4,4,0,crosspost,149746,276990,300285,https://www.facebook.com/appledaily.tw/posts/10157038514007069,小胖好像比較會跳捏，屁屁很會扭~~~　#鬼編 　 圖文報導→【今天抖音了嗎】文金世紀一握　牽手情變趣味動畫 https://tw.appledaily.com/new/realtime/20180427/1343009 　 #蘋果精選影片,https://www.facebook.com/appledaily.tw/videos/10157038508167069/,,【今天抖音了嗎】文金世紀一握　牽手情變趣味動畫,,,,12821.0
蘋果日報 台灣,3770878,2018-04-27 00:00:01 SGT,Link,4742,404,160,12,75,229,35,1459,0,,0,0,0,https://www.facebook.com/appledaily.tw/posts/10157036085807069,「有些族群就是能夠明目張膽的無差別打人，欺壓弱勢，因為他們已經這樣做，很久了，習慣了。」 　 蔡依橙的閱讀筆記,https://tw.news.appledaily.com/life/realtime/20180426/1342354/,,八百壯士闖醫院　醫師批：他們欺壓弱勢習慣了,反軍改的八百壯士昨在立法院周邊發起陳抗事件，有部分群眾聚集、侵入立院附近的台大醫院與台大兒童醫............,,,7116.0
蘋果日報 台灣,3770980,2018-04-27 12:41:44 SGT,Link,6016,169,136,9,471,58,27,5,0,,0,0,0,https://www.facebook.com/appledaily.tw/posts/10157037806677069,怎麼覺得有點毛（抖 　 #送肉粽 #爆廢公社,https://tw.news.appledaily.com/life/realtime/20180427/1342642/,,什麼是「送肉粽」？她爆小孩鐵齒看　隔天車禍亡,彰化本月25日、27日「送肉粽」，1周內就有2場，讓不少人好奇「送肉粽」是什麼？還有網友呼籲別鐵齒，她曾聽過有小孩看熱鬧，結果隔天就車禍死亡...,,,6891.0
蘋果日報 台灣,3770878,2018-04-27 01:50:00 SGT,Link,3450,295,161,14,404,11,1247,1292,0,,0,0,0,https://www.facebook.com/appledaily.tw/posts/10157036378827069,看到寵物正在受苦難，卻無法幫忙脫困，真的很無力啊！ 　 #蘋果國際,https://tw.lifestyle.appledaily.com/animal/realtime/20180427/1342397/,,兇狠比特犬闖屋　女驚泣：牠在啃食我的貓,美國紐澤西洲一名殘障女子的房子，日前遭到鄰居家飼養的比特犬闖入，而且竟然就在客廳虐殺她飼養的貓咪.........,,,6874.0
蘋果日報 台灣,3770980,2018-04-27 19:00:02 SGT,Link,5273,241,424,35,211,509,3,119,0,,0,0,0,https://www.facebook.com/appledaily.tw/posts/10157038351382069,士林地院法官從照片角度研判，警察當時是躲在天橋上拍照，該地點非主管核定，因此認定警察取締方式違法，判當事人勝訴免罰。 　 #蘋果社會 🍎不一樣的蘋果日報，加入我們的IG吧 👉 https://goo.gl/HxyZnq:=:https://www.instagram.com/appledailytw/,https://tw.news.appledaily.com/local/realtime/20180427/1342969/,,警察躲天橋抓闖紅燈　法官打臉：違法免罰,新北市賴姓男子前年開車闖紅燈，被警察拍照取締，不久後就收到一張2700元的罰單，但賴男不.........,,,6815.0
蘋果日報 台灣,3770980,2018-04-27 17:00:37 SGT,Link,5686,188,57,13,140,350,5,44,0,,0,0,0,https://www.facebook.com/appledaily.tw/posts/10157038206632069,這段三角關係終於要落幕了 #7pupu編 　 #倪安東 倪安東 Anthony #管罄 管罄 Kris Kuan 🍎追星追美食，加入蘋果日報IG 👉 https://goo.gl/HxyZnq:=:https://www.instagram.com/appledailytw/,https://tw.entertainment.appledaily.com/realtime/20180427/1342865/,,【倪安東偷吃】離婚成定局　小三管罄賠錢換撤告,從「星光幫」走紅的混血歌手倪安東與女歌手管罄婚外情，去年6月因《壹週刊》拍到兩人激吻照而曝光，倪妻Vivi怒對丈夫與管罄連帶求償200萬元，...,,,6483.0
蘋果日報 台灣,3770980,2018-04-27 15:01:04 SGT,Link,4533,133,96,24,90,352,1,5,0,,0,0,0,https://www.facebook.com/appledaily.tw/posts/10157037946292069,真是太誇張了，怎麼可以這樣穿呢！讓我去現場檢舉他！！(#天編 　 #蘋果生活 #爆廢公社 🍎加入《蘋果》LINE，熱門新聞報你知 👉 https://goo.gl/pQ9xTe:=:https://line.me/R/ti/p/%40appledailytw,https://tw.news.appledaily.com/life/realtime/20180427/1342714/,,長腿娕妹「屁股蛋」當餌　男人全跑到她後面,網友在臉書社團PO文，仔細一看不得了，一位長腿辣妹在池邊釣魚，只見她釣竿往前甩，男釣友們卻全跑到後面來...　,,,5234.0
蘋果日報 台灣,3770980,2018-04-27 09:58:48 SGT,Link,3828,209,50,18,51,159,15,83,0,,0,0,0,https://www.facebook.com/appledaily.tw/posts/10157037494952069,T妹透露，「我孩子的生父，拿了我三百萬！我連吭都沒有吭一聲！最後還不是一個人把寶寶生下來！再苦、再累 我也必須對小生命負責，因為寶寶是無辜的！」 　 #網紅 #T妹 🍎蘋果日報IG強勢回歸 👉 https://goo.gl/HxyZnq:=:https://www.instagram.com/appledailytw/,https://tw.news.appledaily.com/life/realtime/20180427/1342535/,,T妹小孩生父曝光！「父不詳」拿了她300萬,網紅T妹（Tiffany Chen）看到有女生以為懷孕就能結婚，結果男方反悔，女生去墮胎的新聞後，有感而發透露出孩子的生父！T妹2月接受《蘋...,,,4413.0
蘋果日報 台灣,3770980,2018-04-27 09:01:33 SGT,Link,3815,85,37,26,173,132,1,0,0,,0,0,0,https://www.facebook.com/appledaily.tw/posts/10157037383502069,兩個人握手真的是活久見的歷史性畫面啊！ 　 【不斷更新】文在寅見金正恩的第一句話：很高興見到你　兩人牽手穿越軍事分界線 https://tw.news.appledaily.com/international/realtime/20180427/1342467/ 　 #國際新聞 #蘋果國際 #KoreaSummit #남북정상회담 #김정은 #southkorea #northkorea #문재인 #MoonJaein #KimJongun 문재인 #한국 #조선 #文在寅 #金正恩 #兩韓峰會,https://tw.news.appledaily.com/international/realtime/20180427/1342509/,,【峰會直擊】目睹歷史性握手　現場記者一陣歡呼,兩韓領導人高峰會今日登場，《蘋果日報》記者絕對不能缺席，特地派人前往首爾近距離紀錄這場世紀峰會。《蘋果》記者今早抵達南韓政府設置的新聞中心...,,,4269.0
