Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
ETtoday新聞雲,3799011,2018-04-23 18:40:00 SGT,Link,13091,6096,2712,39,353,25,2601,32752,0,,0,0,0,https://www.facebook.com/ETtoday/posts/1884473144922174,太壞心了！可以不喜歡狗狗，但為什麼要做壞事😡 (#01J) ↗下載ETtoday新聞雲App，掌握大小事 http://goo.gl/sJmzjp:=:https://www.ettoday.net/events/ad-source/app/redirect.php?utm_source=et_fb&utm_medium=fb_article_auto_redirect&utm_campaign=fb_article_auto_redirect,https://pets.ettoday.net/news/1155920?from=fb_et_news,,彰化黑狗躺草皮...遭機車兄弟「長叉捅心臟」　噴血狂奔6秒亡 | ETtoday寵物雲,真的是太殘忍了！台灣莉丰慧民 V 關懷動物協會日前轉載了一段令人痛心的影片，畫面中，一對兄弟在彰化縣線西鄉騎機車雙載在鄉間道路上，行經一片草皮時，突然停車往回走，接著戴鴨舌帽的男子竟用手中長柄叉朝一旁黑狗...,,,57669.0
ETtoday新聞雲,3799011,2018-04-23 14:23:50 SGT,Link,12838,455,1072,24,1730,20,240,18,0,,0,0,0,https://www.facebook.com/ETtoday/posts/1884350998267722,＃最新 馬上要變天啦！！！ (#01J),https://www.ettoday.net/news/20180423/1155825.htm?from=fb_et_news,,快訊／新北桃園7縣市大雨特報！　台南高雄注意冰雹雷擊強風 | ETtoday新聞雲,中央氣象局表示，今天（23日）午後對流雲系發展旺盛，對新北市、桃園市、新竹縣、苗栗縣、台中市、南投縣和宜蘭縣發布大雨特報；另外，台南及高雄山區下午2時有較強對流雲系發展，請注意瞬間大雨、雷擊、強陣風及冰雹...,,,16397.0
ETtoday新聞雲,3797490,2018-04-23 07:20:19 SGT,Link,7093,352,181,15,877,11,5636,125,0,,0,0,0,https://www.facebook.com/ETtoday/posts/1883970001639155,#插播　突然發生這樣的事…　（ #羅山）,https://www.ettoday.net/news/20180423/1155534.htm?from=fb_et_news,,快訊／國道開單被大貨車撞「2警1駕駛3死」　消防敬禮：任務結束 | ETtoday新聞雲,國道公路警察局第四公路警察大隊兩名員警今天（23日）清晨攔下一輛大貨車，開單取締違規，沒想到遭後方另一輛大貨車墜狀，3人不幸身亡。到場救援的消防隊員向殉職的員警敬禮，大喊「任務結束」。,,,14290.0
ETtoday新聞雲,3800404,2018-04-24 18:48:00 SGT,Link,9105,120,203,326,78,15,4093,28,0,,0,0,0,https://www.facebook.com/ETtoday/posts/1886014384768050,狗狗們的愛不顧一切啊😥😥😥（#丹利老爹） 💬新社團開幕，小螺絲們來聊聊職場生活吧 👉 https://goo.gl/qpHPWP:=:https://www.facebook.com/groups/1046758808801857/,https://pets.ettoday.net/news/1156355?from=fb_et_news,,打敗眼鏡蛇笑容超燦爛　小狗瞬間毒發「護主照」成遺照 | ETtoday寵物雲,一名男子日前在家中聽到小狗孟那(Moana)不斷吠叫，前去查看發現牠竟然在和一條眼鏡蛇搏鬥，最後成功戰勝保護了全家人…,,,13968.0
ETtoday新聞雲,3800404,2018-04-24 15:00:12 SGT,Link,12228,455,370,57,655,150,0,2,0,,0,0,0,https://www.facebook.com/ETtoday/posts/1885857408117081,車身足足有兩個人高啊！😲😲😲 (#史蒂芬周) 👉快下載新聞雲App掌握大小事 http://goo.gl/sJmzjp:=:https://www.ettoday.net/events/ad-source/app/redirect.php?utm_source=et_fb&utm_medium=fb_article_auto_redirect&utm_campaign=fb_article_auto_redirect👈,https://www.ettoday.net/news/20180424/1156529.htm?from=fb_et_news,,值千萬！賓士霸王級露營車「塞爆停車格」　車主赤腳...網驚幹大事 | ETtoday新聞雲,「我只幹大事，我幹大的......賓士AMG，我開大的。」饒舌團體頑童MJ116歌曲《幹大事》近來大爆紅，就有網友遇上歌詞中類似的情境，在街上撞見一輛賓士霸王級越野露營車，一台要價上看千萬元，超大體積更塞爆了小小停車格....,,,13917.0
ETtoday新聞雲,3799011,2018-04-23 11:20:00 SGT,Link,9840,226,498,261,103,787,17,1,0,,0,0,0,https://www.facebook.com/ETtoday/posts/1884164774953011,這是老男孩的浪漫～玩了一輩子呀😭(#01J) 💬新社團開幕，小螺絲們來聊聊職場生活吧 👉 https://goo.gl/qpHPWP:=:https://www.facebook.com/groups/1046758808801857/,https://www.ettoday.net/dalemon/post/35119?from=fb_et_news,,鬼抓人玩30年！死黨每次見面都「有鬼」　父喪禮被拍背：欸換你了 | 鍵盤大檸檬,「無論你在世界哪個角落，我都能找到你......」一句戰慄的話，其實是一群人從高中玩到成年的遊戲，而且一玩就是30年。這場遊戲令10個中年大叔走火入魔，即使娶妻生子也樂此不疲，每年想盡辦法都要「抓交替」。,,,11733.0
ETtoday新聞雲,3799011,2018-04-23 09:25:00 SGT,Link,5963,272,120,13,111,11,3959,927,0,,0,0,0,https://www.facebook.com/ETtoday/posts/1884100198292802,打瞌睡才會肇事...　(#01J) ↗下載ETtoday新聞雲App，掌握大小事 http://goo.gl/sJmzjp:=:https://www.ettoday.net/events/ad-source/app/redirect.php?utm_source=et_fb&utm_medium=fb_article_auto_redirect&utm_campaign=fb_article_auto_redirect,https://www.ettoday.net/news/20180423/1155546.htm?from=fb_et_news,,2警「站警車大貨車間」遭夾輾17公尺亡！駕駛：打瞌睡　同袍哭敬禮 | ETtoday新聞雲,國道警方今天（23日）清晨攔下一輛違規的大貨車在路肩開單，2名員警和蕭姓駕駛站在大貨車和警車間，未料遭後方陸姓駕駛的大貨車追撞，造成3人遭拖行17公尺不治。陸男供稱，他打瞌睡才會肇事。警方見值勤同仁不幸慘死，...,,,11376.0
ETtoday新聞雲,3800404,2018-04-24 09:24:00 SGT,Link,10074,16,49,85,29,4,0,0,0,,0,0,0,https://www.facebook.com/ETtoday/posts/1885578301478325,低調不搶走新娘風采～ (#史蒂芬周 不過還是很美～) 👉新社團開幕，小螺絲們來聊聊職場生活吧：https://goo.gl/qpHPWP:=:https://www.facebook.com/groups/1046758808801857/,https://star.ettoday.net/news/1156267?from=fb_et_news,,周曉涵、張艾亞當伴娘「有禮貌穿搭」被讚爆！　9頭身比例激美 | ETtoday星光雲,陶嫚曼23日低調和交往3年張姓男友在君悅飯店完婚，雖然沒有公開消息，但現場仍有許多演藝圈好友到現場支持，可比、鴨子、丫頭、周曉涵、張艾亞、簡廷芮擔任伴娘團，6人分別穿著自己準備的伴娘服，但每一套都掌握到參.....,,,10257.0
ETtoday新聞雲,3799011,2018-04-23 14:37:00 SGT,Link,5337,147,85,14,131,11,3869,32,0,,0,0,0,https://www.facebook.com/ETtoday/posts/1884272498275572,看著這些畫面，我也忍不住流了眼淚...(#01J) ↗下載ETtoday新聞雲App，掌握大小事 http://goo.gl/sJmzjp:=:https://www.ettoday.net/events/ad-source/app/redirect.php?utm_source=et_fb&utm_medium=fb_article_auto_redirect&utm_campaign=fb_article_auto_redirect,https://www.ettoday.net/news/20180423/1155629.htm?from=fb_et_news,,國道警執勤8年4死33傷　同袍曾PO陳啟瑞血衣：手還握著無線電 | ETtoday新聞雲,國道第四公路警察大隊新市分隊警員葉家豪與郭振雄今日（23日）清晨4點45分在國道1號南下308.1km處取締違規，卻遭另一輛大貨車追撞身亡，同袍到場處理後續忍不住痛哭，2011年至今共有4名國道警察執勤時遇上意外死亡 ，也讓.....,,,9626.0
ETtoday新聞雲,3800404,2018-04-24 22:36:00 SGT,Link,8748,127,87,130,182,16,12,18,0,,0,0,0,https://www.facebook.com/ETtoday/posts/1886191254750363,比起2線3的酒駕警官還有擔當多了！！！（#丹利老爹 希望阿嬤可以趕快醒來😔😔😔） 💬新社團開幕，小螺絲們來聊聊職場生活吧 👉 https://goo.gl/qpHPWP:=:https://www.facebook.com/groups/1046758808801857/,https://www.ettoday.net/news/20180424/1156873.htm?from=fb_et_news,,「照規定，趕快量」台南警局長開車擦撞　女騎士昏迷進加護病房 | ETtoday新聞雲,台南市警察局長黃宗仁20日清晨開公務車前往體育場晨運，不料途中與一名騎機車的67歲吳姓婦人發生擦撞，導致婦人頭部受傷昏迷，至今仍在加護病房觀察。對此，黃宗仁相當內疚自責，事發後天天前往醫院探視，也強調會負.....,,,9320.0
