Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
上報,115281,2018-04-23 22:45:00 SGT,Link,540,7,39,22,13,6,0,0,0,,0,0,0,https://www.facebook.com/UPMEDIA.MG/posts/646303002389895,【#調查】中科院積極籌備量產射程超過1千公里的增程型雄二E巡弋飛彈、雲峰中程飛彈，透過管道分別向美方申購600個以上雷射陀螺儀、控制介面的組件等關鍵組件。 ▶美對台解禁敏感陀螺儀等關鍵組件 https://goo.gl/XUpjAL:=:https://www.upmedia.mg/news_info.php?SerialNo=38120?=fb+ ▶中科院得繞道第三國採購 https://goo.gl/qaY3MF:=:https://www.upmedia.mg/news_info.php?SerialNo=38157?=fb+ #中科院 #雲峰中程飛彈 #增程雄二E巡弋飛彈 #雷射陀螺儀 #雄昇計畫 #戟隼專案,https://goo.gl/VPQcva,http://www.upmedia.mg/news_info.php?SerialNo=39345?=fb,【射程超過1000km】中科院將量產雲峰中程飛彈　向美申購逾600個雷射陀螺儀--上報,中國日前透過渲染營級操演，再配合遼寧號航艦與軍機的海空聯訓對台發動「訊息戰」，國防部長嚴德發也透過巡......,,,627.0
上報,115455,2018-04-26 00:12:29 SGT,Link,255,51,73,2,41,26,6,151,0,,0,0,0,https://www.facebook.com/UPMEDIA.MG/posts/647507285602800,20萬腳架不見了！八百壯士陳抗民眾下午3點突然進攻立法院，除了拆拒馬、護欄，還試圖搶走媒體的攝影器材及手機，其中《上報》直播也被暴力阻擋，清點記者受傷或財物損失名冊更發現，有價值約20萬的腳架消失不見... ▶《上報》記者遭八百壯士暴力斷直播 https://goo.gl/oeHMK6:=:https://www.upmedia.mg/news_info.php?SerialNo=39577?=fb+ ▶蔡英文：現行犯一律逮捕、絕不寬貸 https://goo.gl/6BfLAe:=:https://www.upmedia.mg/news_info.php?SerialNo=39581?=fb+ ▶危險物品遭沒收 八百壯士：夜宿需要發電機才準備汽油 https://goo.gl/2d1WVv:=:https://www.upmedia.mg/news_info.php?SerialNo=39504?=fb+ #八百壯士 #暴力 #反年改 #滋事 #毆打 #警察 #記者,https://goo.gl/Cdh9ZS,https://www.upmedia.mg/news_info.php?SerialNo=39587?=fb,【八百壯士快還來】20萬腳架不見了　媒體失物清單一覽--上報,反年改團體「八百壯士」25日赴立院抗議，陳抗民眾下午3點突然進攻立法院，除了拆拒馬、護欄，還試圖搶走媒......,,,605.0
上報,115455,2018-04-25 13:08:15 SGT,Live Video Complete,269,169,59,20,4,17,5,27,0,original,10223,13206,0,https://www.facebook.com/UPMEDIA.MG/posts/647197375633791,八百壯士再度上街頭 為了阻擋軍版年改法案在立法院順利通過，八百壯士今天再度上街，並舉辦誓師大會；稍早因警方發現危險物品汽油、油壓剪等，沒收而引起雙方衝突。 #八百壯士 #年改 #抗議 #維權,https://www.facebook.com/UPMEDIA.MG/videos/647197375633791/,,,,,,570.0
上報,115455,2018-04-25 21:30:01 SGT,Link,410,48,26,12,9,37,0,0,0,,0,0,0,https://www.facebook.com/UPMEDIA.MG/posts/647368718949990,台灣是亞洲no.1！！無國界記者組織公布2018年新聞自由指數（PFI），挪威蟬聯第一，成最佳新聞自由國家，台灣首次超過美國，為亞洲國家中最佳... ▶ 無國界記者組織設點台北 https://goo.gl/jst3eo:=:https://www.upmedia.mg/news_info.php?SerialNo=21062?=fb+ ▶「妳知道的太多了」 馬爾他記者調查揭弊慘遭暗殺 https://goo.gl/2PkCe7:=:https://www.upmedia.mg/news_info.php?SerialNo=27060?=fb+ ▶UN要求獨立調查　記者兒子盼總理下台 https://goo.gl/BF9i2p:=:https://www.upmedia.mg/news_info.php?SerialNo=27198?=fb+ ▶八百壯士恐遭蒐證攻擊記者 上報被暴力斷直播 https://goo.gl/a5Tszr:=:https://www.upmedia.mg/news_info.php?SerialNo=39544?=fb+ 上報國際圈 #新聞自由 #無國界記者組織 #台灣 #亞洲最佳,https://goo.gl/5S8QaP,https://www.upmedia.mg/news_info.php?SerialNo=39559?=fb,【2018年新聞自由指數】挪威最自由北韓墊底　台灣排42「超美趕英」--上報,無國界記者組織（ReportersWithoutBorders）公布2018年新聞自由指數（PFI），挪威蟬聯第一，成最佳新聞自由......,,,542.0
上報,115544,2018-04-27 10:00:02 SGT,Link,333,49,29,2,13,32,9,8,0,,0,0,0,https://www.facebook.com/UPMEDIA.MG/posts/648205962199599,【#社評】這是一群自認被國家遺棄的人。他們信任的黨國已經不在，深信不疑的意識形態在台灣的民主洪流沖刷下崩解，因而認同無著、溝通無門、心頭鬱結，只好與同儕相濡以沫... 上報評論圈 #反年改 #國家 #遺棄 #八百壯士 #黨國,https://goo.gl/MP68v8,http://www.upmedia.mg/news_info.php?SerialNo=39655?=fb,社評：這群自認被國家遺棄的叔伯爺奶--上報,一個半月前，當時也是「八百壯士」的繆德生為了反年改衝進立法院，卻爬牆不慎從高處跌落身亡。當時，繆德生......,,,475.0
上報,115281,2018-04-23 13:30:00 SGT,Link,180,15,7,2,1,3,214,21,0,,0,0,0,https://www.facebook.com/UPMEDIA.MG/posts/646080119078850,「學長，任務結束了！」今日清晨2名員警在中山高取締違規貨車，卻遭另輛大貨車從後方追撞，造成3人當場死亡。上午7時把員警遺體移開時，多名警員情緒哀傷，落淚向遺體致敬😢😢 #員警 #追撞 #車禍 #RIP,https://goo.gl/KmpDi8,http://www.upmedia.mg/news_info.php?SerialNo=39344?=fb,2名員警國道值勤遭追撞身亡　同袍淚送：任務結束了--上報,「學長，任務結束了！」23日清晨5時許中山高南下308公里處，發生3死連環車禍，當時2名員警正在取締違規大貨......,,,443.0
上報,115455,2018-04-26 01:00:01 SGT,Link,200,43,17,2,8,22,62,88,0,,0,0,0,https://www.facebook.com/UPMEDIA.MG/posts/647523922267803,#現場圖輯 一名奮力抵擋的警察在激烈碰撞中紅了眼眶。一旁的同袍不捨，伸手撫慰流淚員警的臉頰，表達安慰...😢 ▶反年改脫序傷30名員警　9名記者送醫 https://goo.gl/311MQD:=:https://www.upmedia.mg/news_info.php?SerialNo=39568?=fb+ ▶《上報》記者遭八百壯士暴力斷直播 https://goo.gl/oeHMK6:=:https://www.upmedia.mg/news_info.php?SerialNo=39577?=fb+ #八百壯士 #反年改 #警察 #溫情,https://goo.gl/XuZtnu,https://www.upmedia.mg/news_info.php?SerialNo=39589?=fb,學長衝撞學弟哭了　警當人肉盾牌流下男兒淚--上報,反年改團體25日赴立院抗議，約莫下午3時突然試圖闖進立院，警方在措手不及下奮力阻擋，一名警察更在激烈碰......,,,442.0
上報,115683,2018-04-27 16:30:00 SGT,Link,238,17,27,2,19,41,14,61,0,,0,0,0,https://www.facebook.com/UPMEDIA.MG/posts/648308815522647,機場跑道優劣影響所有乘客的生命安全啊...有高達7成本國籍機師認為桃機跑道是他們飛過全球倒數前三爛；對滑行道平整度的不滿意度竟高達99.4%，淪為國際笑柄😫😫😫 ▶機師再摃桃機　上海虹橋「人家連一絲細紋裂縫都沒有」 https://goo.gl/qLfCY3:=:https://www.upmedia.mg/news_info.php?SerialNo=39673?=fb+ ▶桃機滑行道「破洞破很大」 機師怨：5年沒有一天平整 https://goo.gl/ATtfnF:=:https://www.upmedia.mg/news_info.php?SerialNo=39520?=fb+ #桃園機場 #跑道 #機師 #票選 #國際笑柄,https://goo.gl/X6GuL2,http://www.upmedia.mg/news_info.php?SerialNo=39705?=fb,72%國籍機師票選　桃園機場跑道是全球倒數前三爛--上報,日前一名機師公布桃園機場跑道充滿泥漿、坑洞的畫面，引起外界關注，甚至怒轟「國恥」。一份針對本國籍機師......,,,419.0
上報,115210,2018-04-23 01:00:01 SGT,Link,104,8,32,0,5,1,154,91,0,,0,0,0,https://www.facebook.com/UPMEDIA.MG/posts/645558602464335,在這個世界最大的難民營中，會聽到最難以置信的故事：一名13歲的女孩訴說她在媽媽身邊遭10餘人性侵「很多次」；當地嬰兒被丟進河裡淹死、遭活活燒死，或是被剁碎... ▶【影片】5座遭緬軍溶屍的羅興亞亂葬崗 https://goo.gl/iJE4UA:=:https://www.upmedia.mg/news_info.php?SerialNo=34656?=fb+ ▶第一個羅興亞家庭返抵緬甸 https://goo.gl/utZhzr:=:https://www.upmedia.mg/news_info.php?SerialNo=38876?=fb+ 上報國際圈 #羅興亞人 #難民營 #緬甸 #種族清洗,https://goo.gl/nsfgzj,https://www.upmedia.mg/news_info.php?SerialNo=38902?=fb,屠殺嬰兒、52%婦女遭性侵　這裡是羅興亞難民營--上報,「無論發生在何處，不公平都是對於正義的威脅。」（Injusticeanywhereisathreattojusticeeverywhere.）馬丁......,,,395.0
上報,115544,2018-04-26 16:30:01 SGT,Link,222,25,9,0,8,8,7,115,0,,0,0,0,https://www.facebook.com/UPMEDIA.MG/posts/647821538904708,台大兒童醫院醫生施景中在臉書表示，「陳抗的聲音阻撓了看診、教學」不僅如此，陳抗團體占用醫院座位休息，使用醫院免費網路，要求醫生幫忙開驗傷單，以證明警察打人等行為... ▶「達成階段性目標」 八百壯士下午1點宣布解散 https://goo.gl/SMezdZ:=:https://www.upmedia.mg/news_info.php?SerialNo=39623?=fb+ ▶賴清德怒:嚴厲譴責　未來恐擬「襲警罪」 https://goo.gl/GsJZXu:=:https://www.upmedia.mg/news_info.php?SerialNo=39616?=fb+ ▶《上報》記者遭八百壯士暴力斷直播 https://goo.gl/oeHMK6:=:https://www.upmedia.mg/news_info.php?SerialNo=39577?=fb+ #台大醫院 #陳抗 #佔用 #醫院 #網路 #驗傷,https://goo.gl/PBcQVj,https://www.upmedia.mg/news_info.php?SerialNo=39633?=fb,【台大醫生動怒】不滿八百壯士干擾兒童醫院　「包容不代表可為所欲為」--上報,反年改團體「八百壯士」25、26日聚集千人在立院周邊進行陳抗，位於附近的台大兒童醫院也遭到波及。一名台大......,,,394.0
