Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
蘋果日報即時新聞,1529942,2018-04-26 16:31:00 SGT,Link,3495,667,346,9,1567,217,44,197,0,,0,0,0,https://www.facebook.com/apple.realtimenews/posts/1562777670512100,我的天啊！那個尾巴.......（嘔 #老鼠 #冰棒,https://tw.news.appledaily.com/international/realtime/20180426/1342177/,,吃冰棒吃到老鼠　氣炸！女怒求償24萬元 | 蘋果日報,,,,6542.0
蘋果日報即時新聞,1529704,2018-04-26 00:09:35 SGT,Link,2852,390,85,5,60,62,245,914,0,,0,0,0,https://www.facebook.com/apple.realtimenews/posts/1562133053909895,這種素質還自稱八百壯士......我也是ㄎㄎㄎ啦 #八百壯士 #反年改 #年金改革,https://tw.appledaily.com/new/realtime/20180426/1341741,,八百壯士拳打腳踢通通來　警員無奈流下男兒淚 | 蘋果日報,,,,4613.0
蘋果日報即時新聞,1529567,2018-04-24 19:18:00 SGT,Link,3144,40,45,5,383,17,24,374,0,,0,0,0,https://www.facebook.com/apple.realtimenews/posts/1560853967371137,這1女3男絕對不是在打麻將！ #室友 #毀容 #正妹,https://tw.appledaily.com/new/realtime/20180424/1340782,,女室友帶3男回家狂歡　正妹嫌吵慘被圍毆毀容 | 蘋果日報,,,,4032.0
蘋果日報即時新聞,1529567,2018-04-24 22:10:14 SGT,Link,3065,186,190,16,132,211,4,11,0,,0,0,0,https://www.facebook.com/apple.realtimenews/posts/1560987230691144,「經網友比對發現，她們全是新加坡當地知名的網紅、YOUTUBER、網路偶像，更離譜的是，流出影片的人似乎也是新加坡一名知名旅遊男網紅」 #網紅 #網美 #YOUTUBER #小模 #流出 #自拍 #新加坡,https://tw.appledaily.com/new/realtime/20180424/1340890,,星國冠希玩遍女網紅　58部性愛片流出「男粉看完全崩潰」 | 蘋果日報,,,,3815.0
蘋果日報即時新聞,1529942,2018-04-26 17:31:13 SGT,Link,3073,223,51,50,66,260,13,5,0,,0,0,0,https://www.facebook.com/apple.realtimenews/posts/1562822857174248,#最新 哀....別因為毒品而毀了自己！ #印尼 #死刑,https://tw.appledaily.com/new/realtime/20180426/1342254,,8台人在印尼涉走私毒品　被判死刑 | 蘋果日報,,,,3741.0
蘋果日報即時新聞,1529942,2018-04-26 15:00:24 SGT,Native Video,1694,194,764,4,206,35,676,22,0,original,59152,96624,0,https://www.facebook.com/apple.realtimenews/posts/1562725603850640,咬牙兼2份工...18年還完房貸結果... #房貸 【慘片】人間悲劇！　還完18年房貸人過世 https://goo.gl/gfCx68:=:https://tw.finance.appledaily.com/realtime/20180426/1341351/,https://www.facebook.com/apple.realtimenews/videos/1562723630517504/,,【慘片】人間悲劇！　還完18年房貸人過世,,,,3595.0
蘋果日報即時新聞,1529567,2018-04-24 10:03:02 SGT,Link,2194,231,141,2,178,14,146,626,0,,0,0,0,https://www.facebook.com/apple.realtimenews/posts/1560509737405560,連續出勤22天！？要是勞檢有確實執行...可能就不會有這次悲劇了.............. #2警 #國道開單 #慘死 #肇事者 #出勤22天 #勞動基準法 #公司 #開罰 #300萬,https://tw.appledaily.com/new/realtime/20180424/1340319,,【2警慘死】肇事者嚴重過勞！連續出勤22天　公司遭重罰300萬,,,,3532.0
蘋果日報即時新聞,1530094,2018-04-27 11:08:31 SGT,Link,2531,159,73,66,24,216,0,48,0,,0,0,0,https://www.facebook.com/apple.realtimenews/posts/1563602527096281,#最新 ！！！15年！！！ #頂新 #劣油案 #逆轉 #魏應充 #無罪撤銷 #改判15年,https://tw.appledaily.com/new/realtime/20180427/1340479,,【頂新劣油】魏應充無罪撤銷　逆轉改判15年,,,,3117.0
蘋果日報即時新聞,1529704,2018-04-25 14:00:37 SGT,Link,2218,37,41,7,55,1,273,393,0,,0,0,0,https://www.facebook.com/apple.realtimenews/posts/1561616680628199,好好的女兒竟然...😥 #同學 #姦殺 #母親,https://tw.news.appledaily.com/international/realtime/20180425/1341215/,,正妹被同學姦殺　母親走上孤獨復仇之路,,,,3025.0
蘋果日報即時新聞,1529567,2018-04-24 14:44:55 SGT,Link,1929,41,30,7,283,2,635,5,0,,0,0,0,https://www.facebook.com/apple.realtimenews/posts/1560708187385715,天啊...怎麼會這樣........ #東石港 #浮屍 #進香 #8歲女童,https://tw.appledaily.com/new/realtime/20180424/1340560,,東石港口橋發現浮屍　疑進香失蹤8歲女童,,,,2932.0
