Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
自由時報,1077784,2018-04-23 17:33:41 SGT,Link,7029,239,205,674,57,2,2145,3,0,,0,0,0,https://www.facebook.com/m.ltn.tw/posts/1807582772660714,人生總有這一天，能好好跟身邊的人說再見，真的很重要！ 謝謝蘇醫師對醫界的貢獻，願您在另一個世界幸福快樂！ 　 #病逝 #癌末 #醫師 #蘇建裕,http://news.ltn.com.tw/news/life/breakingnews/2404163,,不留遺憾！辦完人生畢典1週後…癌末醫師離世 - 生活 - 自由時報電子報,,,,10354.0
自由時報,1077904,2018-04-26 18:16:27 SGT,Link,3521,1027,624,9,172,632,48,3136,0,,0,0,0,https://www.facebook.com/m.ltn.tw/posts/1812237882195203,欺人太甚！一個月只有10萬元，叫斯懷怎麼活得下去！ 　 #八百壯士 #反年改 #吳斯懷 #梁文傑,http://news.ltn.com.tw/news/politics/breakingnews/2407524,,為月退11萬變10萬...吳斯懷帶人衝立院釀死傷 挨轟什麼邏輯 - 政治 - 自由時報電子報,,,,9169.0
自由時報,1077856,2018-04-25 11:32:00 SGT,Link,7886,177,147,169,18,59,9,4,0,,0,0,0,https://www.facebook.com/m.ltn.tw/posts/1809467585805566,佩服水牛伯！不忮不求！ #游錫堃 #水牛伯,http://news.ltn.com.tw/news/politics/breakingnews/2405787,,宜蘭人風骨！蔡英文曾給6職位都婉拒 游錫堃回歸田園 - 政治 - 自由時報電子報,曾被黨內人士拱代表民進黨參選新北市長的前行政院長游錫堃，最後以「不忮不求」的態度，婉拒參選，回顧過往，總統蔡英文曾託人給他6個職位，不過他都婉謝，盼能為維持老百姓身分，回歸田園。根據《財訊》報導，雖然.....,,,8469.0
自由時報,1077856,2018-04-25 22:14:54 SGT,Link,2422,676,624,8,121,67,50,3997,0,,0,0,0,https://www.facebook.com/m.ltn.tw/posts/1810416369044021,你們有沒有想過這裡有很多小朋友需要安靜接受治療？ 你們有沒有想過你們影響了這些孩子們的權益？ 沒有，因為你們眼裡只有自己。 　 #兒童醫院 #八百壯士 #反年改 #醫生,http://news.ltn.com.tw/news/politics/breakingnews/2406773,,反年改佔兒童醫院 打卡比YA還在大廳大吼 - 政治 - 自由時報電子報,,,,7965.0
自由時報,1077904,2018-04-26 18:49:38 SGT,Link,7282,122,224,129,89,25,0,1,0,,0,0,0,https://www.facebook.com/m.ltn.tw/posts/1812407208844937,星宇航空真的要來囉！各位出國又有新選擇了！ 　 #張國煒 #星宇航空,http://news.ltn.com.tw/news/life/breakingnews/2407779,,交通部准了！ 星宇航空：收到公文就全面展開籌備 - 生活 - 自由時報電子報,,,,7872.0
自由時報,1077904,2018-04-26 19:35:00 SGT,Link,5683,379,188,181,122,382,39,12,0,,0,0,0,https://www.facebook.com/m.ltn.tw/posts/1812665658819092,只能說，下輩子別再做這種事了。 　 #印尼 #死刑 #毒品 #走私毒品,http://news.ltn.com.tw/news/world/breakingnews/2407754,,8台灣人走私1噸冰毒 印尼法院全判死刑 - 國際 - 自由時報電子報,,,,6986.0
自由時報,1077784,2018-04-23 22:56:53 SGT,Link,5737,60,334,100,331,15,0,1,0,,0,0,0,https://www.facebook.com/m.ltn.tw/posts/1807920955960229,才高中就有這種大發現，長大以後不知道會發現什麼嚇死人的東西！這些孩子真是太厲害了！ 　 #塑膠 #硝酸還原菌 #科展 #興大附中 === 下載App 掌握新消息 === iOS ➡ https://goo.gl/Gc70RZ:=:https://itunes.apple.com/tw/app/zi-you-shi-bao/id1060983848?l=zh&ls=1&mt=8 Android ➡ https://goo.gl/VJf3lv:=:https://play.google.com/store/apps/details?id=com.ltnnews.news,http://news.ltn.com.tw/news/life/breakingnews/2404427,,興大附中科展大發現 找出會吃塑膠的新菌 - 生活 - 自由時報電子報,,,,6578.0
自由時報,1077904,2018-04-26 10:14:43 SGT,Link,2979,471,288,9,82,359,30,1687,0,,0,0,0,https://www.facebook.com/m.ltn.tw/posts/1811415082277483,學生這樣有辦法考試嗎？ 　 相關新聞 【八百壯士打記者警察、包圍兒童醫院 他批：根本義和團】 http://news.ltn.com.tw/news/politics/breakingnews/2407020 【反年改打警察毆記者 葉俊榮轟：嚴重挑釁及踐踏台灣民主】 http://news.ltn.com.tw/news/politics/breakingnews/2407048 #反年改 #毆打警察 #包圍醫院,http://news.ltn.com.tw/news/life/breakingnews/2407051,http://news.ltn.com.tw/news/politics/breakingnews/2407051,800壯士遊行成功高中前 學生破口大罵：我們在期中考 - 生活 - 自由時報電子報,800壯士今早持續抗爭，並且繞著立法院四周遊行，繞到成功高中前時，一名學生對著遊行隊伍破口大罵，他表示，立法院附近整天在抗議，沒有你們那麼誇張的；卻被800壯士反嗆，想被打死是不是。前藍委王正德聽到有學生抗議...,,,5905.0
自由時報,1077784,2018-04-24 07:45:00 SGT,Link,5211,167,177,183,30,105,1,0,0,,0,0,0,https://www.facebook.com/m.ltn.tw/posts/1808296492589342,射程再進化😏😏😏 #中科院 #雲峰 #飛彈 === 下載App 掌握新消息 === iOS ➡ https://goo.gl/Gc70RZ:=:https://itunes.apple.com/tw/app/zi-you-shi-bao/id1060983848?l=zh&ls=1&mt=8 Android ➡ https://goo.gl/VJf3lv:=:https://play.google.com/store/apps/details?id=com.ltnnews.news,http://news.ltn.com.tw/news/politics/breakingnews/2404591,,準備好了？中科院傳擬量產雲峰中程飛彈 射程逾千公里 - 政治 - 自由時報電子報,,,,5874.0
自由時報,1077784,2018-04-23 16:14:14 SGT,Link,3041,297,184,8,276,24,53,1597,0,,0,0,0,https://www.facebook.com/m.ltn.tw/posts/1807366796015645,這間公司真的很敢。 　 #國道 #警察 #車禍,http://news.ltn.com.tw/news/society/breakingnews/2404020,,疲勞駕駛撞死2國道警察 公司態度強硬拒回應 - 社會 - 自由時報電子報,,,,5480.0
