Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Initium Media 端傳媒,249868,2018-04-23 23:30:00 SGT,Photo,976,16,81,18,3,64,0,0,0,,0,0,0,https://www.facebook.com/theinitium/posts/1003531169823435,#晚安小端,https://www.facebook.com/theinitium/photos/a.497892530387304.1073741828.466505160192708/1003530923156793/?type=3,,,,,,1158.0
Initium Media 端傳媒,249868,2018-04-23 22:59:53 SGT,Photo,599,65,144,50,74,148,1,1,0,,0,0,0,https://www.facebook.com/theinitium/posts/1003648229811729,"2018年4月20日，420大麻日，加拿大安大略省渥太華（Ottawa）民眾到國會山莊前地集體抽大麻，人群上浮現一層濃厚的大麻煙。 April 20, 2018 - Smoke lingers over Parliament Hill as people smoke marijuana during the annual 4/20 rally on Parliament Hill in Ottawa, Ontario, Canada. 攝：Lars Hagberg/AFP/Getty Images #加拿大 #安大略省 #渥太華 #大麻日 #端傳媒 #端影像 #Canada #Ontario #Ottawa #420 #Marijuana #Weed #Joint #Smoke #Initium #InitiumPhoto",https://www.facebook.com/theinitium/photos/a.497892530387304.1073741828.466505160192708/1003648229811729/?type=3,,Timeline Photos,,,,1082.0
Initium Media 端傳媒,249895,2018-04-24 11:00:01 SGT,Link,643,49,248,5,17,70,9,0,0,,0,0,0,https://www.facebook.com/theinitium/posts/1003878076455411,【「缺芯之痛」後，為何中國「繞得過 Intel，跨不過微軟；繞得過 ARM，做不出 Android」】 美國禁止向中興出售產品的禁令公布後，這一本土電信設備製造巨頭立即陷入「休克狀態」。與此同時，關於中國「缺芯之痛」的討論也引爆中文互聯網…… 本文作者以親身經歷，提出「缺芯」問題的背後，更嚴重的是配套生態系統的缺乏，「繞得過 Intel，跨不過微軟；繞得過 ARM，做不出 Android」……http://bit.ly/2HpTssU:=:https://theinitium.com/article/20180424-mainland-chips-made-in-china/ ============================ ▍用你選擇的媒體，決定你看見的世界 ▍ 加入會員 ➤ http://bit.ly/2lG8JeA:=:https://membership.theinitium.com/ #端傳媒,http://bit.ly/2HpTssU,https://theinitium.com/article/20180424-mainland-chips-made-in-china/美國禁止向中興出售產品的禁令公布後，這一本土電信設備製造巨頭立即陷入「休克狀態」。與此同時，關於中國「缺芯之痛」（大陸稱晶片為芯片）的討論也引爆中文互聯網，有人認為這是中國自主研發晶片的「重大利好」，有人為中國如何應對出謀劃策，也有人反思中國為何沒有形成本土半導體人才的聚集效應,梁寧：有了國產晶片就能不受制於人？事情好像沒那麼簡單｜端傳媒 Initium Media,繞得過 Intel，卻跨不過微軟，中國「缺芯」問題的背後，更嚴重的是配套的生態系統的缺乏。而問題的根源，在於體制的集體心智模式。,,,1041.0
Initium Media 端傳媒,249895,2018-04-24 12:00:02 SGT,Link,292,107,34,4,8,32,0,0,0,,0,0,0,https://www.facebook.com/theinitium/posts/1003881129788439,【所以，台灣的你願意拿起槍來為台灣而戰嗎？】 台灣民主基金會（TFD）調查結果一發布，立刻引發不少質疑，絕大多數批判都集中在自我防衛決心這部分，質疑TFD立場者有之，指控數據扭曲事實者有之，且質疑聲量與規模不僅相當大，還持續了很長時間。 到底為何會有這些爭議？台灣人的自我防衛決心是高是低？ http://bit.ly/2F97Dwx:=:https://theinitium.com/article/20180424-opinion-chenfangyu-taiwan-teenagers/ ============================ ▍用你選擇的媒體，決定你看見的世界 ▍ 加入會員 ➤ http://bit.ly/2lG8JeA:=:https://membership.theinitium.com/ #端傳媒,http://bit.ly/2F97Dwx,https://theinitium.com/article/20180424-opinion-chenfangyu-taiwan-teenagers/,陳方隅：台灣人的自我防衛決心是高是低？｜端傳媒 Initium Media,台灣民主基金會（TFD）的調查結果一發布之後，立刻引發不少質疑，絕大多數批判都集中在自我防衛的決心這一部分，質疑TFD立場者有之，指控數據扭曲事實者有之，而且質疑聲量與規模不僅相當大，還持續了很長時間。到底為...,,,477.0
Initium Media 端傳媒,249868,2018-04-23 17:16:53 SGT,Photo,169,18,110,1,5,0,29,67,0,,0,0,0,https://www.facebook.com/theinitium/posts/1003489506494268,【#小端網絡觀察：她申請公開「狼師」信息，反遭北大校方施壓】 「申請信息公開何罪之有？我没有做錯任何事，也不會後悔曾經提交《信息公開申請表》，行使我作為北大學生的光榮權利。」 今日北京大學外文學院學生 #岳昕 發表致北大師生的公開信，信中指她作為向北大遞交《信息公開申請表》的八位學生之一，要求校方公佈「#沈陽案」的相關細節，卻反遭校方約談施壓。 據公開信表述，校方越過岳同學向其母親聯繫，並對其「歪曲事實」導致其母瀕臨崩潰，以「嚎啕痛哭、自扇耳光、下跪請求」以及自殺來要求岳昕隨其回家。 ●●● 事情緣由 4月9日，由於北京大學至今沒有清晰公佈 20 年前性侵女學生致其自殺的教授沈陽的相關處分信息，岳昕等 8 位北大學生，依據行政公開條例，依法要求北京大學公開當年沈陽案相關會議記錄。 4月22日凌晨一點時，其輔導員（從事學生思想政治教育及日常生活管理的老師）及母親闖入宿舍要求她删除所有網路信息，並遭帶回家裡，目前未返回學校且無法與其本人聯繫。 (truncated),https://www.facebook.com/theinitium/photos/a.497892530387304.1073741828.466505160192708/1003488326494386/?type=3,,Photos from Initium Media 端傳媒's post,,,,399.0
Initium Media 端傳媒,249895,2018-04-24 23:30:00 SGT,Photo,279,5,30,0,1,1,32,0,0,,0,0,0,https://www.facebook.com/theinitium/posts/1004063226436896,#晚安小端,https://www.facebook.com/theinitium/photos/a.497892530387304.1073741828.466505160192708/1004063146436904/?type=3,,,,,,348.0
Initium Media 端傳媒,249895,2018-04-24 13:00:01 SGT,Link,245,2,31,3,8,0,0,0,0,,0,0,0,https://www.facebook.com/theinitium/posts/1003908169785735,【金正日的專列車廂辦公桌上，我們看到了一台蘋果電腦】 台灣公視記者進入北韓採訪，見識到「接近真實」的北韓，說「接近」，是他們敬愛的元帥勤政愛民的形象，與農村路邊那些瘦弱黝黑等著搭便車的臉，怎樣也無法整合。 集體行動七天，行程結束後，對於同行夥伴自己跑進超市買東西，他一度反應不過來：原來，人本來就可以自己決定什麼時候去便利店買東西。http://bit.ly/2HTRs9o:=:https://theinitium.com/article/20180224-taiwan-notes-about-north-korea/ ============================ ▍用你選擇的媒體，決定你看見的世界 ▍ 加入會員 ➤ http://bit.ly/2lG8JeA:=:https://membership.theinitium.com/ #端傳媒,http://bit.ly/2HTRs9o,https://theinitium.com/article/20180224-taiwan-notes-about-north-korea/,我走進了「接近真實」的北韓｜端傳媒 Initium Media,「導遊說的為什麼跟我曾讀過的歷史大相逕庭？歌功頌德的習性附著在金氏政權已久，敬愛的元帥勤政愛民形象，對照農村路邊那些瘦弱黝黑等著搭便車的臉。這樣的北韓，幾分虛實，幾分真假。」,,,289.0
Initium Media 端傳媒,249868,2018-04-24 07:12:56 SGT,Link,126,0,11,0,15,2,40,3,0,,0,0,0,https://www.facebook.com/theinitium/posts/1003830709793481,【早報：加拿大多倫多發生貨車蓄意撞人事件，造成9人死亡、16人受傷】http://bit.ly/2K4SaS5:=:https://theinitium.com/article/20180424-morning-brief/ 一覺醒來世界發生了什麼？ 1. 當地時間23日下午1點30分，加拿大多倫多市央街（Yonge）芬治大道（Finch）附近發生一起貨車衝上人行道撞擊行人事件，已造成至少9人死亡，16人受傷。肇事司機已被捕，警方判定為蓄意攻擊，尚不清楚動機。 2. 美國田納西州槍擊案嫌犯、29歲的白人男子 Travis Reinking 已被警方抓捕。警方表示，將其拘留時，還在他的揹包裏發現了手槍和子彈。 3. 亞美尼亞民眾持續一週多的抗議活動取得成效，剛剛於本月17日當選總理的謝爾日·薩爾基相（Serzh Sargsyan）為迎合抗議民眾要求，已公開宣布辭職。他在辭職聲明中表示，「街頭抗議行動反對我的總理任期，我將滿足你們的要求」，又強調這是他最後一次作為國家領導人發表講話。他還表示認識到自己的錯誤，並稱反對派領導人尼科爾·帕西尼安（Nikol Pashinyan）要求他下台的呼聲是對的。 4. (truncated),http://bit.ly/2K4SaS5,https://theinitium.com/article/20180424-morning-brief/,早報：加拿大多倫多發生貨車蓄意撞人事件，造成9人死亡、16人受傷｜端傳媒 Initium Media,當地時間23日下午1點30分， 加拿大多倫多市央街（Yonge）芬治大道（Finch）附近發生一起貨車衝上人行道撞擊行人事件，已造成至少9人死亡，16人受傷 。,,,197.0
Initium Media 端傳媒,249868,2018-04-23 12:00:00 SGT,Link,154,5,24,5,0,0,3,0,0,,0,0,0,https://www.facebook.com/theinitium/posts/1003356629840889,【專訪盧冠廷：即使無法改變社會，我也要唱到一百歲】 「人年輕的時候可能有那種想法，覺得世界是可能改變的。」但現在，他再也不相信一個人可以改變世界。 曾經寫了許多表達對社會不滿的民謠，如今他說心中的不滿和憤怒都過去了。明白了即使這個社會不會因為他的音樂而改變，他對音樂的愛和標準亦不會因社會而改變。 當唱片市場不再興旺的時候，盧冠廷想竭盡所能，在音樂上挑戰自己、讓自己永遠唱下去。 http://bit.ly/2F8nv2q:=:https://theinitium.com/article/20180423-culture-music-folk-lowelllo-movietomusic/ ============================ ▍用你選擇的媒體，決定你看見的世界 ▍ 加入會員 ➤ http://bit.ly/2lG8JeA:=:https://membership.theinitium.com/ #端傳媒,http://bit.ly/2F8nv2q,https://theinitium.com/article/20180423-culture-music-folk-lowelllo-movietomusic/,專訪盧冠廷：改變不了世界，那就唱到一百歲｜端傳媒 Initium Media,除了音樂，他沒有別的技能。音樂曾讓他以為世界可以改變，失望之後，他依然還要繼續唱。,,,191.0
Initium Media 端傳媒,249868,2018-04-23 21:03:00 SGT,Link,94,7,33,0,3,0,7,45,0,,0,0,0,https://www.facebook.com/theinitium/posts/1003580499818502,【約談施壓、驚動家人、輔導員突然關心，你如何評價北大處理沈陽性侵案的方式？】 北京大學外國語學院大四學生岳昕自述被輔導員凌晨通過家長施壓，校方則表示擔心安全問題，不一致的事件表述裏，是誤會還是謊言？ 校方在什麼情況下可以直接越過學生找其父母？你如何看待學校讓家長出面干涉學生行動的行為？ 此前，號召其他學生一同要求北大信息公開的大四生鄧宇昊也曾被約談，而學生提交的申請也被以無紀錄、文件遺失等回覆，北大校方為何遮掩沈陽性侵案處理細節？ http://bit.ly/2HYv5Qt:=:https://theinitium.com/roundtable/20180423-roundtable-zh-yuexin/ ============================ ▍用你選擇的媒體，決定你看見的世界 ▍ 加入會員 ➤ http://bit.ly/2lG8JeA:=:https://membership.theinitium.com/ #端傳媒,http://bit.ly/2HYv5Qt,https://theinitium.com/roundtable/20180423-roundtable-zh-yuexin/,約談施壓、驚動家人、輔導員突然關心，你如何評價北大處理沈陽性侵案的方式？｜端圓桌｜端傳媒 Initium Media,學生自述被校方通過家長施壓，校方則表示擔心安全問題，不一致的事件表述裏，是誤會還是謊言？,,,189.0
