Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
The News Lens 關鍵評論網,524927,2018-04-26 16:57:00 SGT,Link,6413,61,1145,60,686,198,20,6,0,,0,0,0,https://www.facebook.com/TheNewsLens/posts/1639881282748021,【#關鍵新聞】北大教授被控性侵案持續延燒，整起事件一如以往，在中國網路上被全面封殺。不過，中國網友日前卻利用虛擬貨幣的加密技術，將整起事件的來龍去脈藏在交易紀錄中，而這也是「區塊鍊」科技首次被用來對付中國當局的刪文。 #中國 #北京大學 #北大 #沈陽 #岳昕 #區塊鍊 #以太幣 #虛擬貨幣,https://www.thenewslens.com/article/94409,,「這世界再沒有404」：北大學生用「區塊鍊」讓性侵醜聞永存網上 - The News Lens 關鍵評論網,透過這起事件可見「區塊鏈」對中國公民運動有巨大的組織潛力，因為它可以有效突破中國無孔不入的網路審查機制。,,,8589.0
The News Lens 關鍵評論網,525001,2018-04-27 18:42:18 SGT,Link,3863,27,391,95,243,20,1,1,0,,0,0,0,https://www.facebook.com/TheNewsLens/posts/1640875972648552,【#關鍵國際】經過一整天的會談，兩韓下午發表「板門店宣言」，表示將終止韓戰。5月1日，南北韓就會開始終止韓戰的第一步：停止兩韓邊境的心戰廣播。 #南韓 #北韓 #金正恩 #文在寅 #板門店宣言 #核武 #韓戰,https://www.thenewslens.com/article/94478?tnl_source=fb,,不只結束韓戰、終止核武，9大重點看兩韓峰會的「板門店宣言」 - The News Lens 關鍵評論網,兩韓峰會後，他們宣布朝鮮半島將不再發生戰爭。,,,4641.0
The News Lens 關鍵評論網,524927,2018-04-26 10:57:00 SGT,Link,2820,55,654,11,14,65,46,9,0,,0,0,0,https://www.facebook.com/TheNewsLens/posts/1638788972857252,【當爸媽想著「我是為你好」，其實才是孩子最大的危險】 最近，孫安佐在異鄉闖禍，登上媒體頭條。在他媽媽眼中，這世界充滿了危險，她不放心讓孩子單獨出門，卻讓孩子一個人到國外求學；她說自己出身貧寒，卻嫌同學家吃稀飯太寒酸。 在台灣，像這樣的家長為數不少，孩子跌倒不是教他怎麼爬起來，而是父母同時衝過去把小孩扶起來。但是，小孩真有這麼脆弱，世界真有這麼危險嗎？ #孫安佐 #親子 #教育 #過度保護 新公民議會,https://www.thenewslens.com/article/93480,,孩子最大的危險來源，就是「什麼都要介入」的家長 - The News Lens 關鍵評論網,小孩沒有你想像的那樣脆弱，這世界也沒有你想像的那樣危險，真要說危險的話，什麼都要介入的家長，才是人間第一凶器，不是嗎？,,,3674.0
The News Lens 關鍵評論網,524846,2018-04-24 19:57:00 SGT,Link,1418,53,238,8,50,1662,3,3,0,,0,0,0,https://www.facebook.com/TheNewsLens/posts/1638119196257563,【#關鍵國際】曾是日本最大在野黨的「民進黨」和「希望之黨」今天整併，並改名為「國民民主黨」，簡稱「國民黨」，這消息也掀起台灣網友熱烈討論： #民進黨 #國民黨 #小池百合子 #日本政黨,https://www.thenewslens.com/article/94275,,日本「民進黨」整併後改名「國民黨」 台灣人：大家都知道兩黨是一樣的 - The News Lens 關鍵評論網,日本的在野黨「民進黨」士氣低迷已久，今日決議和「希望之黨」合併並改名為「國民民主黨」，簡稱「國民黨」，這個名稱上的巧合讓台灣網友笑了。,,,3435.0
The News Lens 關鍵評論網,525001,2018-04-27 19:57:00 SGT,Link,2035,12,243,68,130,11,1,0,0,,0,0,0,https://www.facebook.com/TheNewsLens/posts/1640879965981486,【#關鍵新聞】未來也將發行蘭嶼專用加密貨幣「TAO Coins」（達悟幣），觀光客除了可使用達悟幣在蘭嶼的友善生態商店享有優惠，觀光客若在蘭嶼協助資源回收，也可獲得達悟幣作為獎勵。 #區塊鏈 #以太幣 #達悟族 #以太坊 #蘭嶼 #環保,https://www.thenewslens.com/article/94507,,用「區塊鏈」技術守護蘭嶼生態，除了「數位身份」未來還要推「達悟幣」 - The News Lens 關鍵評論網,DTCO執行長李亞鑫強調，區塊鏈去中心化的技術，有利於原住民部落自主經濟發展，協助部落實現自治的理想。,,,2500.0
The News Lens 關鍵評論網,524846,2018-04-24 22:12:01 SGT,Link,1317,75,203,1,65,33,110,564,0,,0,0,0,https://www.facebook.com/TheNewsLens/posts/1638272289575587,"【#關鍵東南亞】抗議移工表示，住宿費加餐點費需月繳新台幣3900，冷氣費還要另繳400元，如此一扣實領工資不到2萬元，根本無法寄錢回家。 而他們的雇主是於2017年的EPS創下該公司史上第三高紀錄，股價一度飆上1,025元的股后「精華光學」。 #越南 #移工 #精華光學 #台股 #勞工局 The News Lens 關鍵評論網 東南亞",https://asean.thenewslens.com/article/94254,,逾百越南移工深夜群聚抗議居住環境差，新北勞工局查出雇主兩項違規 - The News Lens 關鍵評論網,今日凌晨，新北市汐止聚集上百位越南移工，抗議雇主收費卻不給冷氣吹等不公平對待，引起關注。而該雇主去年獲利情況是該公司史上第三好，今年訂單大增因此需要擴大增加生產線。,,,2368.0
The News Lens 關鍵評論網,524846,2018-04-24 17:57:00 SGT,Link,1005,36,204,3,187,3,914,9,0,,0,0,0,https://www.facebook.com/TheNewsLens/posts/1638065459596270,【#關鍵新聞】在城中區這棟百年洋樓駐足34年的金石堂城中店宣告由於房東不打算續租，將在六月底結束營業，過去有上百家出版社和書店的「書店街」，也漸漸變成餐廳、商旅...... #金石堂 #書店 #重慶南路 #書店街,https://www.thenewslens.com/article/94257,,全台第一間金石堂「城中店」吹熄燈號，書店一條街只剩餐旅了 - The News Lens 關鍵評論網,金石堂城中店由於租約不續租，將在六月底結束營業，隨著讀者習慣改變，過去曾是書店一條街的重慶南路也變了很多，讓34年的老書店選擇離開。,,,2361.0
The News Lens 關鍵評論網,524846,2018-04-24 11:57:20 SGT,Link,1152,58,309,3,71,8,544,115,0,,0,0,0,https://www.facebook.com/TheNewsLens/posts/1636964716373011,【長春城外空氣瀰漫屍臭，城裡有人開始吃起人肉】#精選書摘 1948年，共軍下令包圍長春，開始長達五個月的圍城。隨著戰爭進行，逃出城的平民被解放軍擋下，國民黨軍也不准他們回城，他們只能靠吃草和樹葉為生，最終大都活活餓死， 在烈日灼晒下，遍地屍體一個個肚皮鼓脹。有一名倖存者回憶說，空氣裡到處彌漫著一股屍臭。然而，城裡情況卻沒好到哪去，有人甚至開始吃起人肉…… #國共內戰 #長春 #圍城 #飢餓,https://www.thenewslens.com/article/93496,,人肉一磅一點二美元，十六萬平民餓死的「長春圍困戰」 - The News Lens 關鍵評論網,一名解放軍的部隊作家張正隆在其書中寫道：「長春和廣島，死亡人數大致相等。廣島用九秒鐘。長春是五個月。」,,,2260.0
The News Lens 關鍵評論網,524880,2018-04-25 13:27:00 SGT,Link,1831,87,213,12,20,32,2,0,0,,0,0,0,https://www.facebook.com/TheNewsLens/posts/1637890369613779,【《復仇者聯盟3》今日集結，但薩諾斯為何想拿無限寶石？】#圖發事件 今（25）日，《復仇者聯盟3》即將上映，這部集漫威10周年大成的作品，相信讓許多人期待不已。其中，最強反派薩諾斯跟六顆無限寶石更是值得關注的焦點。 令人好奇的是，薩諾斯想拿這六顆無限寶石，完成什麼樣的計畫？這六顆寶石又分別在哪些電影出現呢？就讓我們一起進入漫威電影宇宙一探究竟！ #電影 #Marvel #復仇者聯盟3 #無限寶石 #薩諾斯,https://www.thenewslens.com/article/94155,,【圖表】看《復仇者聯盟3》前，先來認識無限寶石跟薩諾斯 - The News Lens 關鍵評論網,過去10年，漫威共出了18部超級英雄電影，每部電影內容互相連貫，連結起一個完整世界。其中無限寶石與薩諾斯是背後的重要連結，也是即將上映的《復仇者聯盟3》電影中的故事主線。本文讓我們能對無限寶石與薩諾斯，有初....,,,2197.0
The News Lens 關鍵評論網,524825,2018-04-23 19:27:00 SGT,Link,1485,14,72,468,1,0,130,0,0,,0,0,0,https://www.facebook.com/TheNewsLens/posts/1637158083020341,【#關鍵國際】雪梨大學動物行為專家表示，17歲的Max雖然半盲半聾，還是能夠感受到小主人的恐懼與苦惱的情緒：「假如小女孩又驚慌又哭喊，老狗會希望能給予小主人一點安慰。」 #澳洲 #南昆士蘭 #狗 #迷路 The News Lens 關鍵評論網 香港,https://hk.thenewslens.com/article/94181,,半盲半聾17歲老狗狗　荒山雨夜守護迷路3歲小主人 - The News Lens 關鍵評論網,澳洲一頭半盲又聾的17歲老狗，在荒山冷雨下徹夜守護著迷路的3歲小主人，獲當地警署封為榮譽警犬。,,,2170.0
