Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
BBC 中文網（繁體）,527775,2018-04-27 11:27:00 SGT,Photo,1700,57,265,35,101,71,1,0,0,,0,0,0,https://www.facebook.com/bbctrad/posts/2095423713807621,【現場：金正恩牽起了文在寅的手，兩人手拉著手，跨入了朝鮮邊界。】 雙方舉行會談，無核化是重點議題。金正恩表示希望雙方坦誠溝通。文在寅亦指，希望雙方能達成協議，作為給予半島人民以及世上渴望和平的人的一份大禮物。 點擊查看全程持續更新，請關注BBC中文，獲得一手信息：https://bbc.in/2JwoMmG:=:http://www.bbc.com/zhongwen/trad/world-43917200?ocid=socialflow_facebook,https://www.facebook.com/bbctrad/photos/a.641092315907442.1073741826.592266607456680/2095421207141205/?type=3,,Photos from BBC 中文網（繁體）'s post,,,,2230.0
BBC 中文網（繁體）,527672,2018-04-25 18:58:01 SGT,Link,760,39,150,10,21,1,395,13,0,,0,0,0,https://www.facebook.com/bbctrad/posts/2093340977349228,【你還記得林奕含嗎？】文學新星林奕含的墜落撞出一塊塊如殞石坑般的問題──如何定義「權勢性侵」？性侵受害者如何發聲？社會和家屬如何對待性侵受害者？婚姻中的第三者是否都應該被譴責？一年過去，華文世界因為《房思琪的初戀樂園》一書，掀起了一連串怎麼樣的改變？ #房思琪的初戀樂園 #MeToo,https://bbc.in/2HpBVBb,http://www.bbc.com/zhongwen/trad/chinese-news-43891468?ocid=socialflow_facebook,林奕含離世一週年　「房思琪們」改變了世界嗎？, ,,,1389.0
BBC 中文網（繁體）,527672,2018-04-25 11:30:00 SGT,Native Video,833,13,236,64,4,1,1,1,0,original,27268,41000,0,https://www.facebook.com/bbctrad/posts/2090978914252101,【我不是女超人，任何女性都不該成為女超人】新西蘭女總理懷孕，全民關注。她說「 我並不同意女性要在所有的方面都有所成就，還要把這一切表現得很容易。」https://bbc.in/2HjJM3i:=:http://www.bbc.com/zhongwen/trad/world-43863062,https://www.facebook.com/bbctrad/videos/2090978914252101/,,新西蘭女總理懷孕，全民關注。,,,,1153.0
BBC 中文網（繁體）,527620,2018-04-23 15:09:25 SGT,Native Video,778,63,106,67,49,9,11,1,0,original,87291,96046,0,https://www.facebook.com/bbctrad/posts/2090871800929479,【港女愛上非洲難民：「我不介意養活他。」】 在婚姻登記處，職員把阿凝拉到旁邊，問她是否被迫結婚、是否真的願意嫁給非洲人，不斷告訴她非洲「難民」有多壞，說「現在香港有很多難民破壞治安」。 阿凝在香港難民足球隊 All Black FC Hongkong，結識球員索羅曼，五月即將結婚。 香港融樂會2012年的報告，約三分之一香港人，不願意在公共交通工具坐在少數族裔旁邊，也不願意做少數族裔的鄰居，又或是讓少數族裔成為子女的同學。 全文：https://bbc.in/2JdOqfJ:=:http://www.bbc.com/zhongwen/trad/indepth-43821714,https://www.facebook.com/bbctrad/videos/2090871800929479/,,港女戀上「非洲難民」：「我不介意養他」,,,,1084.0
BBC 中文網（繁體）,527620,2018-04-23 20:39:29 SGT,Link,964,11,10,38,17,4,0,0,0,,0,0,0,https://www.facebook.com/bbctrad/posts/2091185750898084,【小王子出生了】：劍橋公爵夫人凱特誕下一名小王子。他將是王室的第5位繼承人，也是女王的第6位重孫子。 https://bbc.in/2Hmpl5V:=:http://www.bbc.com/zhongwen/trad/uk-43866990?ocid=socialflow_facebook,https://bbc.in/2Hmpl5V,http://www.bbc.com/zhongwen/trad/uk-43866990?ocid=socialflow_facebook,英國王室又添新丁 威廉和凱特的小王子出生,凱特王妃生下一位小王子，他是威廉夫婦的第3個孩子。,,,1044.0
BBC 中文網（繁體）,527775,2018-04-27 10:54:52 SGT,Native Video,528,20,150,9,145,14,0,0,0,original,50388,53147,0,https://www.facebook.com/bbctrad/posts/2095407267142599,【這玩意竟然真的是地球生物。】它能應付大劑量的輻射，不吃不喝幾十年，甚至在滾燙的開水裡生存。它大概比你早登上外太空。 關注 BBC 中文網（繁體）,https://www.facebook.com/bbctrad/videos/2095407267142599/,,這玩意竟然真的是地球生物。,,,,866.0
BBC 中文網（繁體）,527740,2018-04-26 22:45:38 SGT,Link,229,21,71,0,184,2,79,153,0,,0,0,0,https://www.facebook.com/bbctrad/posts/2094879870528672,【兒童性侵兒童：我兒子被同學強姦】英國一名母親警告，不要以為小學階段的孩子天真無邪，一些小學生的生理髮育已經成熟到能夠強姦同學的程度。 https://bbc.in/2Khegkn:=:http://www.bbc.com/zhongwen/trad/43908726?ocid=socialflow_facebook,https://bbc.in/2Khegkn,http://www.bbc.com/zhongwen/trad/43908726?ocid=socialflow_facebook,兒童性侵兒童：我兒子被同學強姦, ,,,739.0
BBC 中文網（繁體）,527645,2018-04-24 20:59:02 SGT,Link,562,33,41,10,41,23,0,0,0,,0,0,0,https://www.facebook.com/bbctrad/posts/2092331047450221,【凱特王妃產後裙裝亮相不坐月子引華人關注】凱特速戰速決，生了小三，七小時就出院，華人社交媒體上眼鏡一地。其實在英國，不僅火速出院，而且回家還不坐月子呢。 https://bbc.in/2qUKMjm:=:http://www.bbc.com/zhongwen/trad/uk/2015/05/150502_uk_kate_first_month?ocid=socialflow_facebook,https://bbc.in/2qUKMjm,http://www.bbc.com/zhongwen/trad/uk/2015/05/150502_uk_kate_first_month?ocid=socialflow_facebook,特稿：凱特王妃坐月子嗎？,我的微信朋友圈上有這樣的對話： 一位爸爸問：「王妃今晚就出院？不坐月子？」 一位中國媽媽肯定地回答：「坐，回家坐。」 ,,,710.0
BBC 中文網（繁體）,527620,2018-04-23 17:09:41 SGT,Link,454,34,44,9,28,7,58,3,0,,0,0,0,https://www.facebook.com/bbctrad/posts/2091023064247686,【婚姻登記處職員把阿凝拉到一旁，說香港很多「難民」，破壞香港治安，欺騙香港女生。】阿凝開了家小服裝店，索羅曼會在店裏幫忙。兩人養了條狗。 因為身份，索羅曼無法找工作，生活苦悶。「在非洲文化裏，一個成年男人畢業後便需要獨立，我有責任出外工作，賺錢養家。」https://bbc.in/2HU30JI:=:http://www.bbc.com/zhongwen/trad/indepth-43821714?ocid=socialflow_facebook,https://bbc.in/2HU30JI,http://www.bbc.com/zhongwen/trad/indepth-43821714?ocid=socialflow_facebook,港女戀上「非洲難民」面對的歧視與掙扎,兩人登記結婚時，阿凝被職員警告，「非洲難民」只是貪圖香港身份證而與港女結婚……,,,637.0
BBC 中文網（繁體）,527672,2018-04-25 18:37:02 SGT,Link,338,8,148,1,52,7,4,0,0,,0,0,0,https://www.facebook.com/bbctrad/posts/2093321070684552,【腸道細菌群能讓人抑鬱，也能讓人開心？ 】這是醫學微生物學的前沿課題，可能為精神疾病和腦神經疾病治療開闢新天地。,https://bbc.in/2HYycYB,http://www.bbc.com/zhongwen/trad/science-43880939?ocid=socialflow_facebook,心情沮喪鬱悶？可能是腸道細菌鬧的,科學家在試圖證明，腸胃裏的寄生菌落跟主人的情緒有關係。,,,558.0
