Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
三立新聞,2019056,2018-04-26 19:23:00 SGT,Link,14674,359,363,1056,45,6,2214,18,0,,0,0,0,https://www.facebook.com/setnews/posts/1778830185534895,相信在天上的爸爸會認同他們的決定 （慣少爺） 【#國道警執勤遭撞亡】相關報導>> https://goo.gl/ijuVrT:=:http://www.setn.com/Klist.aspx?PageGroupID=1&ProjectID=4962&PageType=6,http://www.setn.com/News.aspx?NewsID=373064,,原諒國道肇事司機　殉職警女兒深夜發文：過勞不是他願意,,,,18735.0
三立新聞,2019056,2018-04-26 18:15:01 SGT,Link,13373,869,800,143,534,793,51,49,0,,0,0,0,https://www.facebook.com/setnews/posts/1778805622204018,自作孽啊 （慣少爺）,http://www.setn.com/News.aspx?NewsID=373092,,史上最大宗！印尼走私1噸冰毒　8台灣人死刑確定,,,,16612.0
三立新聞,2018872,2018-04-25 16:30:01 SGT,Link,11299,624,416,32,368,12,3508,156,0,,0,0,0,https://www.facebook.com/setnews/posts/1777426949008552,「不要你們跪啦，跪有用嗎？你要不要去看一下你把他們撞成什麼樣子...」,http://www.setn.com/News.aspx?NewsID=372534,,肇事貨車司機靈堂下跪　兩殉職國道警家屬態度大不同,,,,16415.0
三立新聞,2018872,2018-04-25 17:00:00 SGT,Link,8263,146,477,872,36,9,439,1,0,,0,0,0,https://www.facebook.com/setnews/posts/1777412515676662,不，一點都不髒，您的心很乾淨 （慣少爺）,http://www.setn.com/News.aspx?NewsID=372539,,工人伯撿到錢包　急還失主「我手髒不小心撿到了」逼哭網友,,,,10243.0
三立新聞,2019056,2018-04-26 21:37:36 SGT,Link,5218,294,540,45,435,2,3613,30,0,,0,0,0,https://www.facebook.com/setnews/posts/1779000752184505,爸爸因為犯案遭通緝，而媽媽未婚生下她後就選擇拋棄離開 😥😥😥 （慣少爺）,http://www.setn.com/News.aspx?NewsID=373173,,阿公每天騎車彰化→台中賺錢　4歲女童獨留家抱手機癡等,,,,10177.0
三立新聞,2018872,2018-04-25 20:45:00 SGT,Link,7096,166,410,28,358,1439,1,3,0,,0,0,0,https://www.facebook.com/setnews/posts/1777693728981874,正宮不疾不徐的霸氣 😆😆😆 （慣少爺）,http://www.setn.com/News.aspx?NewsID=372711,,狂！空姐搞上已婚副駕　正宮登機頒錦旗「感謝洩慾工具」,,,,9501.0
三立新聞,2018872,2018-04-25 23:00:02 SGT,Link,5154,1663,1428,21,181,142,1,2,0,,0,0,0,https://www.facebook.com/setnews/posts/1777529722331608,救救小胸女！,http://www.setn.com/News.aspx?NewsID=372609,,想變大奶多吃蘋果喝紅茶？多吃這些食物　胸部可「再發育」,,,,8592.0
三立新聞,2019056,2018-04-26 09:24:00 SGT,Link,6441,293,311,23,197,820,7,14,0,,0,0,0,https://www.facebook.com/setnews/posts/1778353075582606,警方鑑定出爐！判定「瑪莎拉蒂是肇事主因」 （克里濕） #不用逃兵 #瑪莎拉蒂,http://www.setn.com/News.aspx?NewsID=372836,,不用逃兵了！軍卡撞瑪莎拉蒂　責任占比是2：8  | 三立新聞網 SETN.COM,,,,8106.0
三立新聞,2018872,2018-04-25 11:56:05 SGT,Link,4643,388,261,21,510,4,1487,7,0,,0,0,0,https://www.facebook.com/setnews/posts/1777219742362606,家屬不敢讓阿嬤知道媳婦已經過世....,http://www.setn.com/News.aspx?NewsID=372392,,痛心！祖孫三代2天內接連車禍　縣長夫人臉書集氣 | 三立新聞網 SETN.COM,,,,7321.0
三立新聞,2019056,2018-04-26 09:12:30 SGT,Link,4029,104,333,7,453,11,39,2043,0,,0,0,0,https://www.facebook.com/setnews/posts/1778323718918875,也太可怕.....鄰居呢？？？,http://www.setn.com/News.aspx?NewsID=372828,,門口剩一隻鞋！強拖租屋小隻女性侵　內褲男施暴過程全曝光 | 國際 | 三立新聞網 SETN.COM,女生出門在外租屋，一定要多加注意安全！近日社群網路瘋傳一段監視器畫面，公寓中一名男子穿一條內褲，強行將一名女鄰居拖進自己房間，女子奮力抵抗，連衣服都被扯破，但由於身材嬌小，最後仍被拖進屋內，只剩下一隻...,,,7019.0
