Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
中天新聞52家族,143093,2018-04-23 19:30:00 SGT,Native Video,223,36,90,5,6,4,2,2,0,crosspost,5266,13069,36177,https://www.facebook.com/52news/posts/138945890289491,退休警消的怒吼，執政者聽到了嗎？（#內湖羅漢腳） #退休警消 #警消不服從 #降半旗 #蔡英文 #下台 --------- 🤘《快點TV APP》讓你快速掌握訊息 ，快點下載專屬於你的新聞小圈圈！ http://bit.ly/1SzSLXO:=:http://www.baobaonews.com/appdownload/?from=fb,https://www.facebook.com/52news/videos/138945890289491/,,,,,,368.0
中天新聞52家族,143177,2018-04-26 10:00:01 SGT,Native Video,83,92,27,0,5,14,3,115,0,original,8178,14816,0,https://www.facebook.com/52news/posts/966276620204930,難道又要花錢改版了嗎?!　(#梅麗) #身分證 #改版 #徵選 ------- 🎥 #快點好好看 最新電影x週週送票 https://goo.gl/MuBkDP:=:https://www.youtube.com/playlist?list=PLJXE_0d1IopNy10RBszBawWR6XDW1cvFb 🏄🍲🤣 #玩fun飯 超夯玩樂x最強美食 https://goo.gl/VPMCb2:=:https://www.youtube.com/playlist?list=PLJXE_0d1IopPN8NaJqPvpnQTuHwwL9roD,https://www.facebook.com/52news/videos/966276376871621/,,選新身分證！　台獨暫奪冠　「國旗、國號全消失」,,,,339.0
中天新聞52家族,143177,2018-04-27 08:30:01 SGT,Native Video,62,24,6,0,14,24,0,65,0,crosspost,4176,4210,31487,https://www.facebook.com/52news/posts/140924230091657,包商都認罪了…真讓人傻眼！（#內湖羅漢腳） #貪汙 #無罪 #回扣 --------- 🤘《快點TV APP》讓你快速掌握訊息 ，快點下載專屬於你的新聞小圈圈！ http://bit.ly/1SzSLXO:=:http://www.baobaonews.com/appdownload/?from=fb,https://www.facebook.com/52news/videos/140924230091657/,,,,,,195.0
中天新聞52家族,143093,2018-04-23 17:00:01 SGT,Native Video,87,11,22,5,1,0,54,0,0,original,8366,9385,0,https://www.facebook.com/52news/posts/965048576994401,國道警察真的很辛苦　(#梅麗) #國道 #警察 #銓敘部 ------- 🎥 #快點好好看 最新電影x週週送票 https://goo.gl/MuBkDP:=:https://www.youtube.com/playlist?list=PLJXE_0d1IopNy10RBszBawWR6XDW1cvFb 🏄🍲🤣 #玩fun飯 超夯玩樂x最強美食 https://goo.gl/VPMCb2:=:https://www.youtube.com/playlist?list=PLJXE_0d1IopPN8NaJqPvpnQTuHwwL9roD,https://www.facebook.com/52news/videos/965048270327765/,,死亡率1.6%！　國道警遭撞死不算「因公殉職」,,,,180.0
中天新聞52家族,143210,2018-04-27 09:30:00 SGT,Native Video,45,48,5,0,5,3,1,35,0,crosspost,4802,4879,21921,https://www.facebook.com/52news/posts/140929080091172,太誇張了！這樣不僅模糊訴求，還會適得其反！！！（#內湖羅漢腳） #台大 #兒童醫院 #反年改 --------- 🤘《快點TV APP》讓你快速掌握訊息 ，快點下載專屬於你的新聞小圈圈！ http://bit.ly/1SzSLXO:=:http://www.baobaonews.com/appdownload/?from=fb,https://www.facebook.com/52news/videos/140929080091172/,,,,,,142.0
中天新聞52家族,143131,2018-04-24 19:00:01 SGT,Native Video,25,26,14,0,0,0,3,56,0,crosspost,5378,8328,30043,https://www.facebook.com/52news/posts/965617360270856,怎麼可以這麼慘忍!!!! 聽到狗狗的叫聲心好痛...　(#梅麗) #彰化 #長矛 #殺狗 ------- 🎥 #快點好好看 最新電影x週週送票 https://goo.gl/MuBkDP:=:https://www.youtube.com/playlist?list=PLJXE_0d1IopNy10RBszBawWR6XDW1cvFb 🏄🍲🤣 #玩fun飯 超夯玩樂x最強美食 https://goo.gl/VPMCb2:=:https://www.youtube.com/playlist?list=PLJXE_0d1IopPN8NaJqPvpnQTuHwwL9roD,https://www.facebook.com/52news/videos/965616960270896/,,殘忍！　彰化兄弟狠毒殺狗　長矛刺心一擊斃命,,,,124.0
中天新聞52家族,143131,2018-04-24 14:00:01 SGT,Native Video,46,15,21,0,13,4,2,22,0,original,8249,8817,0,https://www.facebook.com/52news/posts/965569170275675,傻眼...(#小丸子) --- 🎥 #快點好好看 最新電影x週週送票 https://goo.gl/MuBkDP:=:https://www.youtube.com/playlist?list=PLJXE_0d1IopNy10RBszBawWR6XDW1cvFb 🏄🍲🤣 #玩fun飯 超夯玩樂x最強美食 https://goo.gl/VPMCb2:=:https://www.youtube.com/playlist?list=PLJXE_0d1IopPN8NaJqPvpnQTuHwwL9roD #大鍋炒麵 #塑膠手套 #衛生問題,https://www.facebook.com/52news/videos/965568793609046/,,大鍋炒麵不用鏟？！　早餐店員戴塑膠手套翻炒,,,,123.0
中天新聞52家族,143177,2018-04-26 11:30:00 SGT,Native Video,96,4,3,0,8,0,0,0,0,crosspost,5027,5149,45347,https://www.facebook.com/52news/posts/140754120108668,看到千萬移動城堡，讓小編也高潮了…（#內湖羅漢腳） #台中 #露營車 #牙醫師 --------- 🤘《快點TV APP》讓你快速掌握訊息 ，快點下載專屬於你的新聞小圈圈！ http://bit.ly/1SzSLXO:=:http://www.baobaonews.com/appdownload/?from=fb,https://www.facebook.com/52news/videos/140754120108668/,,,,,,111.0
中天新聞52家族,143155,2018-04-25 20:59:18 SGT,Native Video,64,16,0,0,11,15,0,2,0,crosspost,5904,5904,45292,https://www.facebook.com/52news/posts/1465851743524874,小編聽到也是傻眼... #孫安佐 #我想看動漫,https://www.facebook.com/52news/videos/1465851743524874/,,,,,,108.0
中天新聞52家族,143177,2018-04-26 23:30:00 SGT,Native Video,50,4,4,0,9,0,20,7,0,crosspost,4786,4848,43370,https://www.facebook.com/52news/posts/140875933429820,這親媽也太狠心了吧！！！（#內湖羅漢腳） #台南 #女嬰 #浮屍 --------- 🤘《快點TV APP》讓你快速掌握訊息 ，快點下載專屬於你的新聞小圈圈！ http://bit.ly/1SzSLXO:=:http://www.baobaonews.com/appdownload/?from=fb,https://www.facebook.com/52news/videos/140875933429820/,,,,,,94.0
