Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
壹電視 Next TV,191583,2018-04-27 04:00:01 SGT,Link,167,25,5,9,3,26,0,0,0,,0,0,0,https://www.facebook.com/NextTV/posts/2212497438767873,在印尼販毒是要被判死刑的! #別讓毒品毀了一生 #印尼 #販毒 #台灣 #全判死刑 #米飛編 ---------------------------------------- 💉💉焦點新聞 反年改控警方強制綁束帶　自拍影片露馬腳「見鏡頭才套回去」 https://goo.gl/DaTr4r:=:http://www.nexttv.com.tw/news/realtime/local/12088203 柯黑遊行後民調　近7成綠基層「挺自提」 https://goo.gl/TrQGn5:=:http://www.nexttv.com.tw/news/realtime/politics/12088219 💊💊熱門新聞 中國恐怖凶殺案連爆　菜刀砍、提頭逛街樣樣來 https://goo.gl/y5sZs9:=:http://www.nexttv.com.tw/news/realtime/international/12088177 「只想看動漫」調皮比YA　孫安佐精神異常還是裝瘋賣傻？ https://goo.gl/AXcb51:=:http://www.nexttv.com.tw/news/realtime/entertainment/12087881,http://www.nexttv.com.tw/news/realtime/international/12088329,,印尼走私1噸冰毒　8台灣人「全判死刑」 | 即時新聞 | 新聞 | 壹電視 NextTV,【壹電視報導】印尼南雅加達法院宣布將8名台灣嫌犯判死刑，根據外媒報導，事發當時，這8名嫌犯被查獲走私一公噸冰毒，其中五人以遊艇從中國運送毒品到印尼，其他三人則負責在海灘接貨，他們更將毒品分裝成50箱以便運.....,,,235.0
壹電視 Next TV,191583,2018-04-23 14:00:01 SGT,Link,134,21,2,6,0,59,0,2,0,,0,0,0,https://www.facebook.com/NextTV/posts/2207712415913042,你「台獨剋星」出手，我不怕！ 是說這歌搭得真是微妙微肖？ #黃安 #台灣演藝圈 #恩怨不斷 #枕編人 ----------------------------------------------------- 🎗🎗焦點新聞 2警取締違規殉職　副隊長淚灑記者會 http://t.cn/RuyOqfc:=:http://www.nexttv.com.tw/news/realtime/local/12085952 撞死清大生！　冷血男辯「不記得」判18年 http://t.cn/RuyuEhz:=:http://www.nexttv.com.tw/news/realtime/social/12086016 ♣♣熱門新聞 無敵鐵金剛作曲人汪石泉　驚傳辭世 http://t.cn/RuyjIu8:=:http://www.nexttv.com.tw/news/realtime/entertainment/12085968 韓航2千金爆惡行！　會長道歉撤女兒職 http://t.cn/Ruy3hWC:=:http://www.nexttv.com.tw/news/realtime/international/12085995 看更多👀請至我們的官網▶▶http://www.nexttv.com.tw,http://www.nexttv.com.tw/news/realtime/entertainment/12086058,,黃安控台獨！　歌手寫「新匪諜黃安夢」回嗆 | 即時新聞 | 新聞 | 壹電視 NextTV,【壹電視報導】先前被黃安舉報是台獨份子，並在大陸被抵制的歌手陳秉融，在網路上改寫黃安這輩子唯一紅過的一首歌曲新鴛鴦蝴蝶夢，雖然受訪時表示心情沒有受到影響，但是歌詞字字句句還是針對黃安，看來黃安跟台灣演...,,,224.0
壹電視 Next TV,191583,2018-04-26 20:00:02 SGT,Link,65,15,9,2,2,52,1,30,0,,0,0,0,https://www.facebook.com/NextTV/posts/2212261612124789,你們要演戲可以，但害到無辜的人延誤就醫這樣就不行了😠 #有夠自私 #反年改 #演好演滿 #米飛編 ---------------------------------------- 📻📻焦點新聞 反年改驚見「涼山鬼兵」　強壓立院警力 http://t.cn/RuIffI1:=:http://www.nexttv.com.tw/news/realtime/latest/12087888 「想看動漫」手比YA　網批孫安佐精神異狀 http://t.cn/RuIcgNF:=:http://www.nexttv.com.tw/news/realtime/entertainment/12087881 🎙🎙熱門新聞 2分鐘摑警8次　中官員妻嗆：我花錢養你們 http://t.cn/RuIVioy:=:http://www.nexttv.com.tw/news/realtime/international/12087755 宜蘭第一鮪現身！　211公斤「189萬賣出」 http://t.cn/RuIIgZt:=:http://www.nexttv.com.tw/news/realtime/local/12087913,http://www.nexttv.com.tw/news/realtime/local/12088203,,反年改控警方強制綁束帶　自拍影片露馬腳「見鏡頭才套回去」 | 即時新聞 | 新聞 | 壹電視 NextTV,【壹電視報導】退役軍人反年改走上街頭，但在網路上卻流傳了這樣一段影片，讓不少網友覺得哭笑不得。原來影片的內容，是陳抗民眾不滿被警方綁上束帶，自拍影片要上傳喊冤，但過程中有不少人，是早就不被束帶束縛，原...,,,176.0
壹電視 Next TV,191584,2018-04-23 07:59:09 SGT,Link,100,12,7,0,5,42,0,1,0,,0,0,0,https://www.facebook.com/NextTV/posts/2207362745948009,本來開開心心想要見到「你」 但你為什麼要這樣欺騙我的感情？😡 #抽獎 #清台 #一股火不自覺升起 #枕編人 ----------------------------------------------------- 🦖🦖焦點新聞 下退政壇猛藥　丁守中也嗆「選第二我退出政壇」 https://goo.gl/zv4iU7:=:http://www.nexttv.com.tw/news/realtime/politics/12085707 「大巨蛋」成致命傷柯？　柯P：不會因選舉放水 https://goo.gl/iC4wvz:=:http://www.nexttv.com.tw/news/realtime/politics/12085733/%E3%80%8C%E5%A4%A7%E5%B7%A8%E8%9B%8B%E3%80%8D%E6%88%90%E8%87%B4%E5%91%BD%E5%82%B7%E6%9F%AF%EF%BC%9F%E3%80%80%E6%9F%AFP%EF%BC%9A%E4%B8%8D%E6%9C%83%E5%9B%A0%E9%81%B8%E8%88%89%E6%94%BE%E6%B0%B4 🐛🐛熱門新聞 沖繩67人麻疹確診　觀光團取消195組 https://goo.gl/GGWWmq:=:http://www.nexttv.com.tw/news/realtime/international/12085702/%E6%B2%96%E7%B9%A967%E4%BA%BA%E9%BA%BB%E7%96%B9%E7%A2%BA%E8%A8%BA%E3%80%80%E8%A7%80%E5%85%89%E5%9C%98%E5%8F%96%E6%B6%88195%E7%B5%84 電信業推「軍公教499吃到飽」　攜碼也能享！ https://goo.gl/f4PRD5:=:http://www.nexttv.com.tw/news/realtime/lifestyle/12085721 看更多👀請至我們的官網▶▶http://www.nexttv.com.tw/,http://www.nexttv.com.tw/news/realtime/local/12085738,,扯！砸1.8萬清台沒大獎　提告才有PS4 | 即時新聞 | 新聞 | 壹電視 NextTV,"【壹電視報導】花了一萬八千六百元清台，結果中了一堆小雞麵、香皂等小獎，不見大獎PS4,台中一名魏小姐，日前跟朋友到逢甲商圈，看到機台註明內含PS4大獎，還有台主豪氣留言，清台沒中，這台機器我吃下去！於是集資清.....",,,167.0
壹電視 Next TV,191583,2018-04-26 18:00:02 SGT,Link,52,45,2,0,3,16,1,46,0,,0,0,0,https://www.facebook.com/NextTV/posts/2212079118809705,人打完了，ㄍㄧㄣ酸! #八百壯士 #解散 #米飛編 ---------------------------------------- 📻📻焦點新聞 反年改驚見「涼山鬼兵」　強壓立院警力 http://t.cn/RuIffI1:=:http://www.nexttv.com.tw/news/realtime/latest/12087888 「想看動漫」手比YA　網批孫安佐精神異狀 http://t.cn/RuIcgNF:=:http://www.nexttv.com.tw/news/realtime/entertainment/12087881 🎙🎙熱門新聞 2分鐘摑警8次　中官員妻嗆：我花錢養你們 http://t.cn/RuIVioy:=:http://www.nexttv.com.tw/news/realtime/international/12087755 宜蘭第一鮪現身！　211公斤「189萬賣出」 http://t.cn/RuIIgZt:=:http://www.nexttv.com.tw/news/realtime/local/12087913,http://www.nexttv.com.tw/news/realtime/social/12087935,,階段性任務完成！　「八百壯士」宣布解散　 | 即時新聞 | 新聞 | 壹電視 NextTV,,,,165.0
壹電視 Next TV,191589,2018-04-27 22:00:02 SGT,Link,50,36,2,2,1,19,1,6,0,,0,0,0,https://www.facebook.com/NextTV/posts/2213673005316983,蔡總統表示 : 在沒有政治前提、兩國立場對等下，她願與習大大會面。 #蔡英文 #習近平 #會面? #米飛編 ---------------------------------------- 👀👀焦點新聞 國宅重建火爆質詢　議員怒丟水瓶砸市長　 https://goo.gl/XNxSf6:=:http://www.nexttv.com.tw/news/realtime/politics/12088665/%E5%9C%8B%E5%AE%85%E9%87%8D%E5%BB%BA%E7%81%AB%E7%88%86%E8%B3%AA%E8%A9%A2%E3%80%80%E8%AD%B0%E5%93%A1%E6%80%92%E4%B8%9F%E6%B0%B4%E7%93%B6%E7%A0%B8%E5%B8%82%E9%95%B7 新熊讚砸百萬微整形　「鼻染色」被譏醜　 https://goo.gl/FFe52C:=:http://www.nexttv.com.tw/news/realtime/lifestyle/12088687/%E6%96%B0%E7%86%8A%E8%AE%9A%E7%A0%B8%E7%99%BE%E8%90%AC%E5%BE%AE%E6%95%B4%E5%BD%A2%E3%80%80%E3%80%8C%E9%BC%BB%E6%9F%93%E8%89%B2%E3%80%8D%E8%A2%AB%E8%AD%8F%E9%86%9C 🤝🤝熱門新聞 南韓人狂盯電視　「文金握手」收視飆34％　 https://goo.gl/TLfYMY:=:http://www.nexttv.com.tw/news/realtime/international/12088698/%E5%8D%97%E9%9F%93%E4%BA%BA%E7%8B%82%E7%9B%AF%E9%9B%BB%E8%A6%96%E3%80%80%E3%80%8C%E6%96%87%E9%87%91%E6%8F%A1%E6%89%8B%E3%80%8D%E6%94%B6%E8%A6%96%E9%A3%8634%EF%BC%85%20 竄改日期「輸台」　大創鞠躬道歉45秒　...,http://www.nexttv.com.tw/news/realtime/politics/12088716,,效仿文金會？　蔡樂與習近平「對等」會面　 | 即時新聞 | 新聞 | 壹電視 NextTV,【壹電視報導】總統蔡英文南下驗收5+2產業創新推動成果，但共軍頻頻繞台下，第一站就選擇視察國防航太工業，捍衛國土安全的意味濃厚。而對於兩韓文金會，蔡英文表示樂見區域穩定跨出了一大步，但是同樣陷入僵局的兩岸...,,,117.0
壹電視 Next TV,191589,2018-04-27 23:00:01 SGT,Link,55,6,7,0,8,1,1,39,0,,0,0,0,https://www.facebook.com/NextTV/posts/2213630801987870,大創出面道歉! #大創百貨 #偽造標籤 #竄改資料 #米飛編 ---------------------------------------- 🇰🇷🇰🇵焦點新聞 38度線面對面 　兩韓領導人世紀和平會談 https://goo.gl/a7RffC:=:http://www.nexttv.com.tw/news/realtime/international/12088411/38%E5%BA%A6%E7%B7%9A%E9%9D%A2%E5%B0%8D%E9%9D%A2%20%E3%80%80%E5%85%A9%E9%9F%93%E9%A0%98%E5%B0%8E%E4%BA%BA%E4%B8%96%E7%B4%80%E5%92%8C%E5%B9%B3%E6%9C%83%E8%AB%87 距板門店最近觀光地　「釜山團」祈願和平統一 https://goo.gl/vsx6po:=:http://www.nexttv.com.tw/news/realtime/international/12088422/%E8%B7%9D%E6%9D%BF%E9%96%80%E5%BA%97%E6%9C%80%E8%BF%91%E8%A7%80%E5%85%89%E5%9C%B0%E3%80%80%E3%80%8C%E9%87%9C%E5%B1%B1%E5%9C%98%E3%80%8D%E7%A5%88%E9%A1%98%E5%92%8C%E5%B9%B3%E7%B5%B1%E4%B8%80 🔥🔥熱門新聞 醫院廁所裝針孔！　女護理師偷拍喊「被迫」 https://goo.gl/Zigokb:=:http://www.nexttv.com.tw/news/realtime/local/12088430/%E9%86%AB%E9%99%A2%E5%BB%81%E6%89%80%E8%A3%9D%E9%87%9D%E5%AD%94%EF%BC%81%E3%80%80%E5%A5%B3%E8%AD%B7%E7%90%86%E5%B8%AB%E5%81%B7%E6%8B%8D%E5%96%8A%E3%80%8C%E8%A2%AB%E8%BF%AB%E3%80%8D 落地窗搭人工草皮　昆凌豪宅曬暖陽...,http://www.nexttv.com.tw/news/realtime/lifestyle/12088666,,竄改日期「輸台」　大創鞠躬道歉45秒　 | 即時新聞 | 新聞 | 壹電視 NextTV,【壹電視報導】日本零售大創百貨，以低價優惠吸引消費者上門，但商品在2015年3月間，被查出有偽造標籤，輸入福島等5縣市食品，遭經濟部祭出禁止輸入貨品6個月處分，但在禁止期間仍持續發給輸出入許可證，等於實質放行.....,,,117.0
壹電視 Next TV,191589,2018-04-27 15:00:00 SGT,Link,72,2,3,7,1,0,31,1,0,,0,0,0,https://www.facebook.com/NextTV/posts/2213324428685174,殉職員警郭振雄的弟弟:「因為你不是酒駕所以我們會原諒你。」 #雖然家屬都知道他不是故意 #但3個人的生命就這樣被帶走了 #一編吃 ---------------------------------------- 🇰🇷🇰🇵焦點新聞 38度線面對面 　兩韓領導人世紀和平會談 https://goo.gl/a7RffC:=:http://www.nexttv.com.tw/news/realtime/international/12088411/38%E5%BA%A6%E7%B7%9A%E9%9D%A2%E5%B0%8D%E9%9D%A2%20%E3%80%80%E5%85%A9%E9%9F%93%E9%A0%98%E5%B0%8E%E4%BA%BA%E4%B8%96%E7%B4%80%E5%92%8C%E5%B9%B3%E6%9C%83%E8%AB%87 距板門店最近觀光地　「釜山團」祈願和平統一 https://goo.gl/vsx6po:=:http://www.nexttv.com.tw/news/realtime/international/12088422/%E8%B7%9D%E6%9D%BF%E9%96%80%E5%BA%97%E6%9C%80%E8%BF%91%E8%A7%80%E5%85%89%E5%9C%B0%E3%80%80%E3%80%8C%E9%87%9C%E5%B1%B1%E5%9C%98%E3%80%8D%E7%A5%88%E9%A1%98%E5%92%8C%E5%B9%B3%E7%B5%B1%E4%B8%80 🔥🔥熱門新聞 醫院廁所裝針孔！　女護理師偷拍喊「被迫」 https://goo.gl/Zigokb:=:http://www.nexttv.com.tw/news/realtime/local/12088430/%E9%86%AB%E9%99%A2%E5%BB%81%E6%89%80%E8%A3%9D%E9%87%9D%E5%AD%94%EF%BC%81%E3%80%80%E5%A5%B3%E8%AD%B7%E7%90%86%E5%B8%AB%E5%81%B7%E6%8B%8D%E5%96%8A%E3%80%8C%E8%A2%AB%E8%BF%AB%E3%80%8D 落地窗搭人工草皮　昆凌豪宅曬暖陽...,http://www.nexttv.com.tw/news/realtime/social/12088464,,「過勞非他所願」　殉職郭振雄家屬含淚原諒 | 即時新聞 | 新聞 | 壹電視 NextTV,【壹電視報導】國道新市分隊兩名員警，在國道取締違規時不幸殉職，其中員警郭振雄的家屬選擇原諒肇事司機，女兒在臉書po文表示過勞真的不是駕駛所願，他也是為了他的家庭，家屬也認為，為了讓郭振雄走的安心，他們做....,,,117.0
壹電視 Next TV,191583,2018-04-26 13:30:00 SGT,Link,35,7,3,0,3,1,2,35,0,,0,0,0,https://www.facebook.com/NextTV/posts/2211916142159336,你的「權益」是權益，別人的「安危」都不是？😤😤😤 #沒有人是欠你的 #一個行為可能造成別人終身遺憾 #枕編人 ---------------------------------------- 📻📻焦點新聞 反年改驚見「涼山鬼兵」　強壓立院警力 http://t.cn/RuIffI1:=:http://www.nexttv.com.tw/news/realtime/latest/12087888 「想看動漫」手比YA　網批孫安佐精神異狀 http://t.cn/RuIcgNF:=:http://www.nexttv.com.tw/news/realtime/entertainment/12087881 🎙🎙熱門新聞 2分鐘摑警8次　中官員妻嗆：我花錢養你們 http://t.cn/RuIVioy:=:http://www.nexttv.com.tw/news/realtime/international/12087755 宜蘭第一鮪現身！　211公斤「189萬賣出」 http://t.cn/RuIIgZt:=:http://www.nexttv.com.tw/news/realtime/local/12087913,http://www.nexttv.com.tw/news/realtime/local/12087884,,反年改衝兒童醫院　霸佔大廳叫囂自拍 | 即時新聞 | 新聞 | 壹電視 NextTV,【壹電視報導】反年改團體持續抗議! 首當其衝的台大兒童醫院，不論裡外都是抗議群眾，台大醫師在臉書怒控，抗議群眾佔著大廳沙發區，還拍照比YA，甚至抽走病歷說要拿去寫抗議標語，估計有好幾千名病患受影響！,,,86.0
壹電視 Next TV,191583,2018-04-25 19:00:02 SGT,Link,32,19,0,1,3,1,1,29,0,,0,0,0,https://www.facebook.com/NextTV/posts/2210753038942313,民主國家用「民主」的方式?? #預謀攻擊 #記者遭毆 #米飛編 ----------------------------------------------------- 🎗🎗焦點新聞 殉職2警移靈！　150同仁致敬「任務結束」 https://goo.gl/xY5HPM:=:http://www.nexttv.com.tw/news/realtime/local/12087249/%E6%AE%89%E8%81%B72%E8%AD%A6%E7%A7%BB%E9%9D%88%EF%BC%81%E3%80%80150%E5%90%8C%E4%BB%81%E8%87%B4%E6%95%AC%E3%80%8C%E4%BB%BB%E5%8B%99%E7%B5%90%E6%9D%9F%E3%80%8D 放棄聽證會！　孫安佐爭取「認罪協商」 https://goo.gl/gFTvBQ:=:http://www.nexttv.com.tw/news/realtime/international/12087247/%E6%94%BE%E6%A3%84%E8%81%BD%E8%AD%89%E6%9C%83%EF%BC%81%E3%80%80%E5%AD%AB%E5%AE%89%E4%BD%90%E7%88%AD%E5%8F%96%E3%80%8C%E8%AA%8D%E7%BD%AA%E5%8D%94%E5%95%86%E3%80%8D ♣♣熱門新聞 「星國冠希」玩遍女網紅　58部性愛片外流！ https://goo.gl/Z63AD8:=:http://www.nexttv.com.tw/news/realtime/international/12087324/%E3%80%8C%E6%98%9F%E5%9C%8B%E5%86%A0%E5%B8%8C%E3%80%8D%E7%8E%A9%E9%81%8D%E5%A5%B3%E7%B6%B2%E7%B4%85%E3%80%8058%E9%83%A8%E6%80%A7%E6%84%9B%E7%89%87%E5%A4%96%E6%B5%81%EF%BC%81 三中案將收網？　馬英九「1周2次」遭傳喚...,http://www.nexttv.com.tw/news/realtime/social/12087614,,譴責暴力！八百壯士蒙面客　群起攻擊記者壹電視也遭殃　 | 即時新聞 | 新聞 | 壹電視 NextTV,【壹電視報導】反年改團體「八百壯士」抗議軍改方案，下午3時突然展開突襲行動，進攻立法院，卻演變成毆打記者的脫序行為，本台採訪記者也遭到包圍攻擊，就連轉播車也被剪斷線路，這群人刻意戴著頭套和口罩，掩飾真.....,,,86.0
