Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
年代新聞,25641,2018-04-26 12:03:06 SGT,Native Video,38,2,20,6,0,0,0,0,0,original,211,1088,0,https://www.facebook.com/eranews50/posts/1261367463966641,告別前兩天的濕濕涼涼，今天氣溫要回升囉，外面春光正好呢～ 🌞4/26東北風減弱 目前北部.竹山.雲嘉南空氣橘警 #來聽懿德報氣象 林懿德 ☀年代氣象☀ https://goo.gl/2bxG91:=:https://www.youtube.com/playlist?list=PLbyorRThEk_Jx6CxIEBt6fcBSuswrNyFD --------------------------------------------- 更多相關新聞請訂閱 #年代新聞 #年代新聞youtube https://www.youtube.com/user/eranewsupload,https://www.facebook.com/eranews50/videos/1261366667300054/,,4/26東北風減弱 目前北部.竹山.雲嘉南空氣橘警,,,,66.0
年代新聞,25624,2018-04-24 12:30:59 SGT,Native Video,48,1,6,1,0,0,0,0,0,original,347,349,0,https://www.facebook.com/eranews50/posts/1259563464147041,雖然今天下雨但這氣溫蠻舒服的♥(´∀` )人 大家外出記得帶傘帶外套唷～ 🌞4/24今起鋒面到轉雨天 越晚越涼 外出攜傘添衣 #來聽懿德報氣象 ​@年代主播-林懿德​ ☀年代氣象☀ https://goo.gl/2bxG91:=:https://www.youtube.com/playlist?list=PLbyorRThEk_Jx6CxIEBt6fcBSuswrNyFD --------------------------------------------- 更多相關新聞請訂閱 #年代新聞 #年代新聞youtube https://www.youtube.com/user/eranewsupload,https://www.facebook.com/eranews50/videos/1259562470813807/,,4/24今起鋒面到轉雨天 越晚越涼 外出攜傘添衣,,,,56.0
年代新聞,25631,2018-04-25 12:17:13 SGT,Native Video,39,3,4,2,2,0,0,0,0,original,251,251,0,https://www.facebook.com/eranews50/posts/1260410097395711,這兩天好涼爽啊😚接下來天氣如何變化呢？讓我們一起來看看～ 🌞4/25今東北風影響偏涼 晨溫北宜不到20度 添衣 #來聽懿德報氣象 林懿德 ☀年代氣象☀ https://goo.gl/2bxG91:=:https://www.youtube.com/playlist?list=PLbyorRThEk_Jx6CxIEBt6fcBSuswrNyFD --------------------------------------------- 更多相關新聞請訂閱 #年代新聞 #年代新聞youtube https://www.youtube.com/user/eranewsupload,https://www.facebook.com/eranews50/videos/1260409457395775/,,4/25今東北風影響偏涼 晨溫北宜不到20度 添衣,,,,50.0
年代新聞,25641,2018-04-27 05:00:00 SGT,Native Video,32,7,2,0,2,0,1,3,0,original,1111,1128,0,https://www.facebook.com/eranews50/posts/1261601657276555,"有備而來》反年改驚見""涼山鬼兵"" 衝撞力道強壓警力 反年改抗議成員裡竟然有「涼山特勤隊」？連現役警察都被壓著玩😥 #涼山特勤隊 #反年改 #警消不服從 --------------------------------------------- 更多相關新聞請訂閱 #年代新聞 #年代新聞youtube https://www.youtube.com/user/eranewsupload",https://www.facebook.com/eranews50/videos/1261597407276980/,,"有備而來》反年改驚見""涼山鬼兵"" 衝撞力道強壓警力",,,,47.0
年代新聞,25644,2018-04-27 12:18:16 SGT,Native Video,32,2,5,2,0,0,0,0,0,original,503,540,0,https://www.facebook.com/eranews50/posts/1262197663883621,下禮拜要下雨了！還不趕快趁這個週末去蝴蝶公園看看😆 🌞4/27想化身成蝴蝶? 板橋蝴蝶公園讓你美麗變身! #來聽懿德報氣象 林懿德 ☀年代氣象☀ https://goo.gl/2bxG91:=:https://www.youtube.com/playlist?list=PLbyorRThEk_Jx6CxIEBt6fcBSuswrNyFD --------------------------------------------- 更多相關新聞請訂閱 #年代新聞 #年代新聞youtube https://www.youtube.com/user/eranewsupload,https://www.facebook.com/eranews50/videos/1262196090550445/,,4/27想化身成蝴蝶? 板橋蝴蝶公園讓你美麗變身!,,,,41.0
年代新聞,25608,2018-04-23 12:18:38 SGT,Native Video,30,0,4,0,0,0,0,0,0,original,252,264,0,https://www.facebook.com/eranews50/posts/1258713210898733,雖然今天很熱但是明天就要變天惹～ 留意溫差不要感冒唷ヽ(✿ﾟ▽ﾟ)ノ 🌞4/23高壓影響 昨午台北34.1度 創今年最高溫 #來聽園淳報氣象 年代新聞 陳園淳 ☀年代氣象☀ https://goo.gl/2bxG91:=:https://www.youtube.com/playlist?list=PLbyorRThEk_Jx6CxIEBt6fcBSuswrNyFD --------------------------------------------- 更多相關新聞請訂閱 #年代新聞 #年代新聞youtube https://www.youtube.com/user/eranewsupload,https://www.facebook.com/eranews50/videos/1258711610898893/,,4/23高壓影響 昨午台北34.1度 創今年最高溫,,,,34.0
年代新聞,25641,2018-04-27 09:00:00 SGT,Native Video,14,7,1,0,0,0,0,3,0,original,485,485,0,https://www.facebook.com/eranews50/posts/1261609007275820,"八百壯士》反年改人肉防線擋路 綠委怒批""國家恥辱"" 陳抗到現在，立委進立法院都必需要警察護送了，到底出什麼問題😣 #反年改 #八百壯士 #維安 --------------------------------------------- 更多相關新聞請訂閱 #年代新聞 #年代新聞youtube https://www.youtube.com/user/eranewsupload",https://www.facebook.com/eranews50/videos/1261606037276117/,,"八百壯士》反年改人肉防線擋路  綠委怒批""國家恥辱""",,,,25.0
年代新聞,25641,2018-04-27 08:00:01 SGT,Native Video,3,16,1,0,0,0,0,2,0,original,814,892,0,https://www.facebook.com/eranews50/posts/1261605843942803,"語出驚人》孫安佐首露面""只想看動漫"" 網友質疑精神狀態 小編也想回家看動漫🙁 #孫安佐 #看動漫 #享樂主義 --------------------------------------------- 更多相關新聞請訂閱 #年代新聞 #年代新聞youtube https://www.youtube.com/user/eranewsupload",https://www.facebook.com/eranews50/videos/1261603490609705/,,"語出驚人》孫安佐首露面""只想看動漫"" 網友質疑精神狀態",,,,22.0
年代新聞,25608,2018-04-24 08:00:01 SGT,Native Video,8,3,1,1,1,0,0,3,0,original,730,737,0,https://www.facebook.com/eranews50/posts/1258805854222802,"60年的古早味？》老店戴""塑膠手套""炒麵 小編就想問一句，不燙嗎............ #台中 #古早味早餐店 #塑膠手套 #炒麵 --------------------------------------------- 更多相關新聞請訂閱 #年代新聞 #年代新聞youtube https://www.youtube.com/user/eranewsupload",https://www.facebook.com/eranews50/videos/1258804750889579/,,"60年的古早味？》老店戴""塑膠手套""炒麵",,,,17.0
年代新聞,25631,2018-04-25 21:00:01 SGT,Native Video,10,1,4,0,1,0,0,0,0,original,290,315,0,https://www.facebook.com/eranews50/posts/1260608320709222,醫學突破》全球首例! 美台裔醫成功移植男生殖器 以後蛋蛋也可以移殖了！這……這樣孩子的DNA會是自己的嗎🤔 #醫學 #器官移殖 #美國 --------------------------------------------- 🌎訂閱Youtube頻道，代你看世界💛 https://goo.gl/fJE5by:=:https://www.youtube.com/playlist?list=PLbyorRThEk_KDTINCXUdRokZsqCMTOU0V #年代 #國際新聞,https://www.facebook.com/eranews50/videos/1260607204042667/,,醫學突破》全球首例! 美台裔醫成功移植男生殖器,,,,16.0
年代新聞,25624,2018-04-25 05:00:00 SGT,Native Video,15,1,0,0,0,0,0,0,0,original,845,845,0,https://www.facebook.com/eranews50/posts/1259784610791593,浴火鳳凰》不倒花媽! 化氣爆危機為轉機 壓不扁的台灣菊 2014那年，高雄氣爆，成為花媽任內最大的挑戰，不論競爭對手如何的打擊，花媽仍像壓不扁的花朵一樣站起來重建城市，就讓我們來看看，陳菊一路走來的紀錄！ #陳菊 #高雄 #選舉 --------------------------------------------- 更多相關新聞請訂閱 #年代新聞 #年代新聞youtube https://www.youtube.com/user/eranewsupload,https://www.facebook.com/eranews50/videos/1259780177458703/,,浴火鳳凰》不倒花媽!  化氣爆危機為轉機 壓不扁的台灣菊,,,,16.0
年代新聞,25608,2018-04-23 18:55:26 SGT,Native Video,6,5,0,1,0,4,0,0,0,original,543,543,0,https://www.facebook.com/eranews50/posts/1258922477544473,《1819年代晚報》 媒體驚爆反柯遊行有500元走路工？ 姚文智表示我現在回答你就變成新聞，不要做這種幫兇，造謠的人都會提告！ 童仲彥10點半本來要召開記者會，後來又說要給姚一天的時間，到明天上午10點為止，姚若不道歉就公佈無碼片！ 到底有沒有證據？到底如何一起來看！ 張雅琴挑戰新聞》爆！童仲彥握領500元走路工證據？姚辦駁斥 http://eranews.eracom.com.tw/files/news/xml/era/n74619.xml #張雅琴挑戰新聞 #童仲彥 #走路工 #姚文智 --------------------------------------------- 🔎訂閱Youtube頻道，一起挑戰新聞✨✨✨ https://goo.gl/N3A5iG:=:https://www.youtube.com/playlist?list=PLbyorRThEk_L_fvJ-RVWB2S9IEVJ7SgQC,https://www.facebook.com/eranews50/videos/1258921164211271/,,張雅琴挑戰新聞》爆！童仲彥握領500元走路工證據？姚辦駁斥,,,,16.0
