Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
聯合報,915536,2018-04-25 15:23:32 SGT,Live Video Complete,3379,3290,810,178,73,45,36,191,0,original,52862,112874,0,https://www.facebook.com/udnplus/posts/1054845184668255,不滿年金改革，反年改團體目前聚集中山南路，現場氣氛緊張。 【「八百壯士」突襲立院 已有人爬過拒馬進入立院】 https://bit.ly/2HrYp0B:=:https://udn.com/news/story/6656/3106737?utm_source=udnplus&utm_medium=fb #直播,https://www.facebook.com/udnplus/videos/1054845184668255/,,直播／年改抗議,,,,8002.0
聯合報,914701,2018-04-23 06:23:00 SGT,Native Video,3769,96,771,167,30,108,1,1,0,original,74278,91307,0,https://www.facebook.com/udnplus/posts/1053169564835817,被萌到了😍😍😍 【北市樂儀旗舞觀摩表演 小禮兵向杰恩超萌吸睛】 https://bit.ly/2qP06ih:=:https://udn.com/news/story/10930/3100776?utm_source=udnplus&utm_medium=fb,https://www.facebook.com/udnplus/videos/1053169104835863/,,北市樂儀旗舞觀摩表演 小禮兵向杰恩超萌吸睛,,,,4943.0
聯合報,915951,2018-04-27 22:53:01 SGT,Link,4041,107,161,23,99,208,1,0,0,,0,0,0,https://www.facebook.com/udnplus/posts/1056219214530852,以前覺得有這盒超炫XDD,https://oops.udn.com/oops/story/6698/3104894?utm_source=udnplus&utm_medium=fb,,當年國小美術課必備「手提箱」？現在進化成這個樣子啦！,大概七、八年級出生的人這樣的經驗，在國小的班上，好像你擁有某些東西特定就會特別風光，例如生日或同樂會的時候帶乖乖桶，或是拿文具的時候桌上有一個變形鉛筆盒，都可以瞬間獲得一堆同學的羨慕~ 那最,,,4640.0
聯合報,915758,2018-04-26 11:53:00 SGT,Link,2477,217,214,11,62,21,703,304,0,,0,0,0,https://www.facebook.com/udnplus/posts/1055412994611474,警察也是此波反年改政策下的犧牲者，被迫站在第一線,https://udn.com/news/story/12038/3108131?utm_source=udnplus&utm_medium=fb,,強忍眼淚挺住… 反年改爆軍警衝突 年輕員警情緒崩潰,反年改團體昨（25日）前往立法院抗爭，造成媒體、警員與抗議人士多數人員受傷。由於抗議人員情緒激動，與警員發生激烈肢體衝突，過程中大安分局長周煥興遭趁亂踹傷、右腿脛骨受傷，中山分局長黃永志也被民眾拉扯，場....,,,4009.0
聯合報,915536,2018-04-25 16:23:00 SGT,Native Video,2202,355,819,15,31,113,102,80,0,original,70416,110921,0,https://www.facebook.com/udnplus/posts/1054832114669562,若軍改越改越好，誰願意走上街頭？ 【軍改公聽會 八百壯士：荒謬年改是總統的態度嗎？】 https://bit.ly/2KfaR5k:=:https://udn.com/news/story/10930/3106318?utm_source=udnplus&utm_medium=fb,https://www.facebook.com/udnplus/videos/1054830161336424/,,軍改公聽會 八百壯士：荒謬年改是總統的態度嗎？,,,,3717.0
聯合報,915951,2018-04-27 10:53:00 SGT,Link,2162,147,854,5,351,34,12,9,0,,0,0,0,https://www.facebook.com/udnplus/posts/1056145947871512,範圍滿大的@@,https://udn.com/news/story/7325/3109788?utm_source=udnplus&utm_medium=fb,,快儲水！台中11區12.3萬戶 5月5日起停水41小時,台水公司第四區處今天公布，為穩定供水，整合「五合一工程」將影響供水，時間為5月5日（周六）上午10時起至5月7日上午3...,,,3574.0
聯合報,915951,2018-04-27 11:23:00 SGT,Link,2782,68,69,183,1,1,362,2,0,,0,0,0,https://www.facebook.com/udnplus/posts/1056148054537968,「相信爸爸也會認同我們所做的決定」,https://udn.com/news/story/12037/3109495?utm_source=udnplus&utm_medium=fb,,殉職國道警女兒願原諒肇事司機 「過勞不是他願意」,國道公路警察局第四公路警察大隊警員郭振雄、葉家豪23日執勤時遭撞死，遺體昨天移靈到台南市立殯儀館，車隊專程繞至兩人服務的新市分隊，逾百名國道員警列隊行禮，淚眼相送。郭振雄的女兒今天清晨在臉書PO文，悲,,,3468.0
聯合報,915951,2018-04-27 12:23:00 SGT,Link,2931,98,258,53,11,63,1,10,0,,0,0,0,https://www.facebook.com/udnplus/posts/1056187307867376,我也想要一件～,https://udn.com/news/story/11744/3110525?utm_source=udnplus&utm_medium=fb,,管中閔現身台大感謝師生力挺 到場簽「爺們T」,台大自主聯盟今明2天在台大鹿鳴廣場開賣挺大學自主、挺台大、挺管校長的T-shirt，台大校長當選人管中閔也至攤位感謝發...,,,3425.0
聯合報,915758,2018-04-26 15:23:00 SGT,Link,2836,34,62,246,10,2,99,0,0,,0,0,0,https://www.facebook.com/udnplus/posts/1055433064609467,阿伯的心很乾淨 ^_^,https://udn.com/news/story/8864/3108254?utm_source=udnplus&utm_medium=fb,,工人阿伯還錢包 一句「對不起我手很髒」失主心疼,一位女大生在網路分享，日前她出門發現錢包掉了，正要回頭找時，一位滿身是汗的工人阿伯騎車到她身旁停下，原來阿伯撿到錢包後一直在後急追要交還給失主。女大生正在感動時，阿伯卻說：「啊妳的錢包要擦一下捏，我的...,,,3289.0
聯合報,915274,2018-04-24 11:53:00 SGT,Link,1353,231,268,5,103,473,13,730,0,,0,0,0,https://www.facebook.com/udnplus/posts/1054188991400541,這下教長該怎麼回應！？,https://udn.com/news/story/12012/3103919?utm_source=udnplus&utm_medium=fb,,證據顯示：中華民國教長是美國公司成員,教育部昨深夜發新聞稿檢附美國加州政府公司資料截圖，反駁立委為教育部長吳茂昆在東華大學校長任內於美國開公司的指控...,,,3176.0
